*HASH_VALUE	skill ID	name	ia	da	p	pia	pda	description
_542E1C74316D24D5	DesertExoticRawMaterialKnowledge	沙漠异域原材料知识			沙漠异域原材料知识			
_5044C0743C307578	DesertKamisKnowledge	沙漠派 Kami 知识			沙漠派 Kami 知识			
_C8543E4DC74F5A49	DesertTravel	沙漠行进			沙漠行进			
_A718F0795EE7C8A5	Digging	挖掘			挖掘			
_3365C89800F89E01	DiscreetApproach	潜行接近			潜行接近			
_296A8C9E68567C5E	Diving	潜水			潜水			
_2847B082E21804A0	Dodging	闪避			闪避			
_E966C451ADF7E0A0	Dragon	龙			龙			
_218AFC73A2649CAF	Dryade	树妖			树妖			
_EDC0E9E6A1776BF3	DualWield	双持			双持			
_6D8940BC243CECB4	Evaluate	评估			评估			
_15C6AC834EE6E4A5	FarShot	远射			远射			
_D31B758B716A6090	FarThrow	远投			远投			
_5D22C96802811266	FeverProtect	热激防护			热激防护			
_229735CB2C772FB6	FirstAid	急救			急救			
_EBE92C87DE07C8A6	Fishing	钓鱼			钓鱼			
_AAE9A4666E5808B9	Forest	森林			森林			
_0B3E491A816D958B	ForestExoticRawMaterialKnowledge	森林异域原材料知识			森林异域原材料知识			
_5034EC77FCC0A57B	ForestKamisKnowledge	森林派 Kami 知识			森林派 Kami 知识			
_C8446A5087DF8A4C	ForestTravel	森林行进			森林行进			
_F28A249AE4D71896	Frost	冰霜			冰霜			
_A6AB2C9934550CBC	Fyros	Fyros			Fyros			
_23D9DDD45B0AB0C7	FyrosGoods	Fyros 商品			Fyros 商品			
_A45654621F97C4BA	Goo	胶质			胶质			
_1AF57DBCEDF937C5	GreatAxe	巨斧			巨斧			
_4030D5F2D884DCCE	GreatMass	巨锤			巨锤			
_A9F7C08660A9FC8F	Grenade	手雷			手雷			
_08065EDC9EB37D73	GroundExtract	地面提取			地面提取			
_79F6AB61B9E5010C	HandToHand	徒手格斗			徒手格斗			
_26BBA88C9D73D4A7	Harpoon	鱼叉 			鱼叉			
_2BCE3B7A5BDACBB6	HarpoonHunting	鱼叉狩猎			鱼叉狩猎			
_6859B085A7C998AF	Harvest	收获			收获			
_EB948CF094239D1E	HealingKamisKnowledge	治疗派 Kami 知识			治疗派 Kami 知识			
_F92866BFE38BCB95	HearWithering	听觉枯萎			听觉枯萎			
_640B62BEC91C82E5	HeavyArmourWear	穿戴重甲			穿戴重甲			
_71544EE048F0E123	HeavyWeapon	重武器			重武器			
_A8888C626796B06B	Hide	躲藏			躲藏			
_61E7E149D27F1BCF	HominOpponentConsiderWeapon	homin 审视			homin 审视			
_EDE50008D7249D1E	HuntingKamisKnowledge	狩猎派 Kami 知识			狩猎派 Kami 知识			
_E26A44A9F229689B	Jewellery	首饰			首饰			
_6836DC6A2C2798A7	Jungle	丛林			丛林			
_D43BDC86316D70C3	JungleExoticRawMaterialKnowledge	丛林异域原材料知识			丛林异域原材料知识			
_D002AC767BE09178	JungleKamisKnowledge	丛林派 Kami 知识			丛林派 Kami 知识			
_48122A4F06FF7649	JungleTravel	丛林行进			丛林行进			
_66B8AC6A67086042	Kami	Kami			Kami			
_B2D412D83E3E19EF	KamicShield	灵能护盾			灵能护盾			
_BFCCBDCE2A8BD517	KamicShock	灵能冲击			灵能冲击			
_6678EC6AE728C042	Kick	踢击			踢击			
_6629A89C6C9428A7	Kitin	Kitin			Kitin			
_6478AC6C64A86045	Lake	湖泊			湖泊			
_F97BD9096BA49380	LakeArmor	湖泊护甲			湖泊护甲			
_B07CB462F9A9C8D8	LakeExoticRawMaterialKnowledge	湖泊异域原材料知识			湖泊异域原材料知识			
_28CFFC31CA6B47F2	LakeKamisKnowledge	湖泊派 Kami 知识			湖泊派 Kami 知识			
_FF4DC5E9C12A3403	LakeTravel	湖泊行进			湖泊行进			
_8B21013F85EEE200	LeadAnimal	牵引动物			牵引动物			
_404CCCFC606DB7A4	LeatherTailoring	皮革裁剪			皮革裁剪			
_04D81F0172B9CF5A	LeftHandedAttack	左手攻击			左手攻击			
_21775CB4E56D5B7C	LeftHandedParry	左手格挡			左手格挡			
_0C452E1ADB0F4DDD	LifeAlchemy	生命炼金			生命炼金			
_2687E4D96CC9C432	LifeGift	生命恩赐			生命恩赐			
_61EA3687978923C4	LightArmourWear	穿戴轻甲 			穿戴轻甲			
_69374089A477E8A4	Madness	疯狂			疯狂			
_455DACCC024CA8F0	MagicObjects	魔法物品			魔法物品			
_4A1563AB5D130552	MagicTransfert	魔法转移			魔法转移			
_3C8E85DF39A1D502	MajorDryade	大树妖			大树妖			
_29D697CA61F99ED6	MajorHealLife	大生命治疗			大生命治疗			
_221426D45905F8BD	MajorLifeRegeneration	大生命回复			大生命回复			
_F38A5F79563A0FA9	MajorMandragore	大 Mandragore			大 Mandragore			
_B2D6DE9C984FBAD2	MajorSapHeal	大树液治疗			大树液治疗			
_6A3765DA24F200B7	MajorSapRegenearation	大树液回复			大树液回复			
_C3BDE5F46A8D2923	MajorSylve	大 Sylve			大 Sylve			
_2271748AD8753575	MajorTirednessHeal	大疲劳治疗			大疲劳治疗			
_CD60785A66010F6E	MajorTirednessRegenearation	大疲劳回复			大疲劳回复			
_01BCE9F0799924F8	MakeAnklet	制作脚环			制作脚环			
_E6E88B9DA26BDFC1	MakeAutolaunch	制作连发投射器			制作连发投射器			
_58A84D5F4AF94B44	MakeAutolaunchAmmo	制作连发投射器弹药			制作连发投射器弹药			
_90B8B46306581057	MakeAxe	制作斧			制作斧			
_90D8586406985859	MakeBag	制作背包			制作背包			
_836DED0DB76A28F3	MakeBowgun	制作弓枪			制作弓枪			
_6E7182DF96ED29C9	MakeBowgunAmmo	制作弓枪弹药			制作弓枪弹药			
_A1D515107FFE3A20	MakeBracelet	制作手镯			制作手镯			
_B3F506251E3059DC	MakeBuckler	制作小圆盾			制作小圆盾			
_392FB217A21035D5	MakeClothes	制作服装			制作服装			
_806CBDDFB589F0F9	MakeDagger	制作匕首			制作匕首			
_3F3C85E1F72910F4	MakeDiadem	制作头冠			制作头冠			
_BDACDE4D3678E9F7	MakeEaring	制作耳环			制作耳环			
_99CF9A08F5CB4324	MakeFireAmmos	制作燃烧弹药			制作燃烧弹药			
_6BFA2687EB3F65CE	MakeFireToughenedArmors	制作抗火护甲			制作抗火护甲			
_5DDB274FBD6D6B60	MakeFireWeapons	制作火焰武器			制作火焰武器			
_7A25B19EE3EF09CE	MakeFloralLivingJewels	制作花卉生命首饰			制作花卉生命首饰			
_D61E921DB8BE7F70	MakeFloralPatternLivingClothes	制作花卉生命服装			制作花卉生命服装			
_3564EA24DFAE45CB	MakeGrenade	制作手雷			制作手雷			
_5DB2A7D44F1CA3D5	MakeHarpoonGun	制作鱼叉枪			制作鱼叉枪			
_24321D769D476015	MakeHarpoonGunAmmo	制作鱼叉枪弹药			制作鱼叉枪弹药			
_24DAAAC9894A7EBA	MakeHeavyArmors	制作重甲			制作重甲			
_F12613925D5F5285	MakeHeavyBoots	制作重甲靴			制作重甲靴			
_61897E8DECF7D3AB	MakeHeavyGloves	制作重甲手套			制作重甲手套			
_DF9876EB2FC8ABA0	MakeHeavyHelmet	制作重甲头盔			制作重甲头盔			
_716683921D7F8A85	MakeHeavyPants	制作重甲裤			制作重甲裤			
_67688CED00A9176B	MakeHeavySleeves	制作重甲护臂			制作重甲护臂			
_99D5FEB80CE66203	MakeHeavyVest	制作重甲背心			制作重甲背心			
_42CD65D02155B99E	MakeJewels	制作首饰			制作首饰			
_34A8590FAE27CB85	MakeKamicClothes	制作 Kami 服装			制作 Kami 服装			
_95699B664F72967A	MakeKamicJewels	制作 Kami 首饰			制作 Kami 首饰			
_9ACACF60BF7A2F6B	MakeKamicWeapon	制作 Kami 武器			制作 Kami 武器			
_ADBFC1E65BE62BD6	MakeLance	制作矛			制作矛			
_E164250C41DF1A49	MakeLauncher	制作投射器			制作投射器			
_DFDDC01F39E70A29	MakeLauncherAmmo	制作投射器弹药			制作投射器弹药			
_B1452B919ADE7A8D	MakeLightBoots	制作轻甲靴			制作轻甲靴			
_E2C98E83E6B7DFA5	MakeLightGloves	制作轻甲手套			制作轻甲手套			
_60D886E12988B79A	MakeLightHelmet	制作轻甲头盔			制作轻甲头盔			
_31859B915AFEB28D	MakeLightPants	制作轻甲裤			制作轻甲裤			
_686878DABD684F73	MakeLightSleeves	制作轻甲护臂			制作轻甲护臂			
_9A15EAA50A364A0D	MakeLightVest	制作轻甲背心			制作轻甲背心			
_93B5F2C0B18D74E6	MakeLongAxe	制作长斧			制作长斧			
_D630EAD54340E14A	MakeLongMace	制作长锤			制作长锤			
_1FD845A457C05A0E	MakeLongSword	制作长剑			制作长剑			
_2487A4CC28998435	MakeMace	制作锤			制作锤			
_249833D77C3DF353	MakeMediumArmors	制作中甲			制作中甲			
_5B045F5B9D1CE3A1	MakeMediumBoots	制作中甲靴			制作中甲靴			
_609817297DA8535F	MakeMediumGloves	制作中甲手套			制作中甲手套			
_35E84B28BD78EF5A	MakeMediumHelmet	制作中甲头盔			制作中甲头盔			
_5CD527699D1CDF92	MakeMediumPants	制作中甲裤			制作中甲裤			
_0371DC2A30794373	MakeMediumSleeves	制作中甲护臂			制作中甲护臂			
_302346DAD82D72D8	MakeMediumVest	制作中甲背心			制作中甲背心			
_6EF52BF62AAC8F82	MakeMeleeWeapons	制作近战武器			制作近战武器			
_3175AA365D2061D4	MakePendant	制作坠饰			制作坠饰			
_26B8A4CC2A99B040	MakePike	制作长矛			制作长矛			
_81DD09FDFE0B10FF	MakePistol	制作手枪			制作手枪			
_70426AD1DC7E01CF	MakePistolAmmo	制作手枪弹药			制作手枪弹药			
_0B53EDC45CF7C64C	MakePistolarc	制作弓手枪			制作弓手枪			
_1931C00DE17507E4	MakePistolarcAmmo	制作弓手枪弹药			制作弓手枪弹药			
_9E16DA9899F07C63	MakePoisonnousLivingWeapons	制作剧毒生命武器 			制作剧毒生命武器			
_E763C9DD6B1E8891	MakeRangeWeaponAmmos	制作远程武器弹药			制作远程武器弹药			
_6D462BF82A8C9B89	MakeRangeWeapons	制作远程武器			制作远程武器			
_ADBFE5DEE3476BE2	MakeRifle	制作步枪			制作步枪			
_923F6E790CE45A15	MakeRifleAmmo	制作步枪弹药			制作步枪弹药			
_26D8A4CE6BC9C045	MakeRing	制作戒指			制作戒指			
_BFBC85EFBA9A0CFA	MakeShield	制作盾牌			制作盾牌			
_B99BAF7F594C2772	MakeShiftRepair	临时修理			临时修理			
_80F17C40F5C78AB9	MakeSurvivalTools	制作求生工具			制作求生工具			
_106EFD8DAB1A104A	MakeSurvivalWeapon	制作求生武器			制作求生武器			
_ADAFFDE56877DBE4	MakeSword	制作剑			制作剑			
_D45CC9816B7A4431	MakeThrowingWeapon	制作投掷武器			制作投掷武器			
_653AA10E2AD58F90	MakeTools	制作工具			制作工具			
_1BFFE53F570A7174	MakeTwo_handsMeleeWeapons	制作双手近战武器			制作双手近战武器			
_C76F960C986F940D	MakeTwo_handsRangeWeaponAmmos	制作双手远程武器弹药			制作双手远程武器弹药			
_1B7F0D41D7CA8578	MakeTwo_handsRangeWeapons	制作双手远程武器			制作双手远程武器			
_00FEF1E56799011B	Mandragore	Mandragore			Mandragore			
_A067CE5043AC6D11	MandrakeFist	曼德拉拳			曼德拉拳			
_E779AC6EE7296048	Mass	锤			锤			
_51682E7744501AF7	MassiveThrow	巨力投掷			巨力投掷			
_E7CB9C9EA95430A4	Matis	Matis			Matis			
_9C697DD5DC89B4C9	MatisGoods	Matis 商品			Matis 商品			
_5FE1918848E72E85	MatisMystery	Matis 奥秘			Matis 奥秘			
_6588B45C23E8D882	Mechanic	机械			机械			
_68CB5BE6FC3A1365	MediumArmourWear	穿戴中甲			穿戴中甲			
_E8D6A7C3A3B9BEE5	MinorLifeHeal	小生命治疗			小生命治疗			
_B396FE9C988FDAD2	MinorSapHeal	小树液治疗			小树液治疗			
_24B1948AD9F53579	MinorTirednessHeal	小疲劳治疗			小疲劳治疗			
_2E18A8746C872CB1	Mirror	镜像			镜像			
_9728368C469559AB	MuscularFever	肌热			肌热			
_54894E6FC071E6F0	NervousFever	神经热			神经热			
_822005071D640CD5	NightShot	夜射			夜射			
_E2C84C702118504B	Nunb	麻木			麻木			
_CC6FA50836A1CB1A	OnHorseBackMelee	骑乘战斗			骑乘战斗			
_4D6FC117BC020B1D	OnHorseBackShoot	骑乘射击			骑乘射击			
_6F2F01DC66B763ED	PainShare	痛苦分担			痛苦分担			
_6F19AD06AB0AC0A8	Paralysis	麻痹			麻痹			
_6478EC7464A8C051	Pike	长矛			长矛			
_C34AEBC50B046254	PikeHunting	生物狩猎			生物狩猎			
_AF69B07BEBB804B2	Pistol	手枪			手枪			
_FD34CAEA8B6E5530	PlantHatred	植物憎恨			植物憎恨			
_6A99BAAB0D732AD0	PointBlankShot	抵近射击			抵近射击			
_D12926744140D9ED	PrimaryRoots	原始根须			原始根须			
_467A5E4B9A8EF117	ProtectingKamisKnoledge	守护派 Kami 知识			守护派 Kami 知识			
_8B5E89F0661B5912	Quartering	剖割			剖割			
_7EB14916DE64E8C7	QuickShot	速射			速射			
_471F61E12C0BE121	QuickThrow	速投			速投			
_2BC8708860770493	Range	远程			远程			
_C7A03DE1A76C9524	RapidBurst	连射			连射			
_2ACA647FEC1918BA	Resist	抵抗			抵抗			
_83000DCBACE9AD22	Resistance	抗性			抗性			
_4FD3CA66BDF4AA0F	RidePackers	牵引驮兽			牵引驮兽			
_E7978470A9C8B0A1	Riding	骑术			骑术			
_6D98848DA2772493	Rifle	步枪			步枪			
_01AE6100A8B9388D	RifleHunting	射击			射击			
_ACE7BC6F6E38208E	Rocket	火箭			火箭			
_2C1F1D07A2E72BEC	RockTabou	岩石禁忌			岩石禁忌			
_E4D8D8662478A887	Rondache	Rondache			Rondache			
_20B83C93ACDB2CA4	Rot	腐蚀			腐蚀			
_6C38F096E77958AA	Running	奔跑			奔跑			
_797EED5580EE64DA	SapAlchemy	树液炼金			树液炼金			
_CD7C29A0B0199487	SapArmor	树液护甲			树液护甲			
_52A68091D1E694A7	SapGift	树液恩赐			树液恩赐			
_E5276C77A9B888A2	Shield	盾牌			盾牌			
_D6A39908094E2C18	ShootAndRun	游走射击			游走射击			
_FFD5024061125DEA	ShotProtect	射击防护			射击防护			
_A2050EE042021A3B	SlowingBreath	缓息			缓息			
_ABFCC680FB10A513	SlowingLife	缓命			缓命			
_EDA9A489A1E844A1	Spear	矛			矛			
_553066C79AA68E41	SpellDeletion	法术删除			法术删除			
_1F11DD768021726D	SpellProtect	法术防护			法术防护			
_A078F656C83EE11B	SpurtingFire	喷火			喷火			
_7DBF715287AF5529	Squandering	挥霍			挥霍			
_650EE61E672F31D8	StallSetUp	摆摊			摆摊			
_C84416CD93116660	StealBreath	汲息			汲息			
_3BEE7169875ED501	StealLife	汲命			汲命			
_402E0D3927BE0919	StealSap	汲树液			汲树液			
_AB38E88EE2E8549A	Stick	杖			杖			
_E4C8224705FEED16	StrenghtGift	力量恩赐			力量恩赐			
_E898307466E8F8A0	Swimming	游泳			游泳			
_AE79F4AB28F86093	Sword	剑			剑			
_8966EA607EEFD5F8	SylphicSlide	风灵滑步			风灵滑步			
_EF9904AEEAE86894	Sylve	Sylve			Sylve			
_7A6DD413630B1B9C	TactileWithering	触觉枯萎			触觉枯萎			
_27E93C82EB58109D	Target	目标			目标			
_2D8988826BF82CB1	Terror	恐惧			恐惧			
_7131134C39C66BD8	TirednessAlchemy	疲劳炼金			疲劳炼金			
_E2980874E368E49D	Tracking	追踪			追踪			
_C88B1DCCE81365DE	TradingCenterKnowledge	贸易中心知识			贸易中心知识			
_A13AB38E5D3CF3CF	TrainingAgility	训练敏捷			训练敏捷			
_B3296EA39520E67B	TrainingAnimal	训练动物			训练动物			
_393BDC9EF56B12F0	TrainingCharisme	训练魅力			训练魅力			
_F3C965A093712C73	TrainingConstitution	训练体质			训练体质			
_0606975DBF5A2C72	TrainingDiseaseResist	训练疾病抗性			训练疾病抗性			
_B4FBA3A2F91B678A	TrainingEmpathie	训练共情			训练共情			
_97E386D1D4F59184	TrainingFearResist	训练恐惧抗性			训练恐惧抗性			
_9BDE0556D5C0A57B	TrainingHp	训练生命值			训练生命值			
_9128BB373BA1825C	TrainingHp2	训练生命值 2			训练生命值 2			
_9138BB377BA1825D	TrainingHp3	训练生命值 3			训练生命值 3			
_9148BB37BCA1825E	TrainingHp4	训练生命值 4			训练生命值 4			
_EB3991FDC7FD6AAE	TrainingImpactResist	训练冲击抗性			训练冲击抗性			
_2C19F97A8F6FDC52	TrainingIntelligence	训练智力			训练智力			
_ACADA57565D32514	TrainingMagicResist	训练魔法抗性			训练魔法抗性			
_093CFB3110027055	TrainingPerception	训练感知			训练感知			
_028F198928F86050	TrainingSeve	训练树液			训练树液			
_6BAC501B2CDF80CC	TrainingSeve2	训练树液 2			训练树液 2			
_6BBC501C2CDF80CD	TrainingSeve3	训练树液 3			训练树液 3			
_6BCC501D2CDF80CE	TrainingSeve4	训练树液 4			训练树液 4			
_E5BA03B24434BBD6	TrainingStamina	训练耐力			训练耐力			
_385BA21092115FF6	TrainingStamina2	训练耐力 2			训练耐力 2			
_385BA61012115FF6	TrainingStamina3	训练耐力 3			训练耐力 3			
_385BAA1094115FF6	TrainingStamina4	训练耐力 4			训练耐力 4			
_375D18C67B1C12EF	TrainingStrength	训练力量			训练力量			
_70179D0A46ED4EB1	TrainingTechnoResist	训练科技抗性			训练科技抗性			
_1E629490CAB05722	TrainingWellBalanced	训练平衡			训练平衡			
_20D6025A002E3116	TrainingWill	训练意志			训练意志			
_ECC9D489AE5810A4	Tryker	Tryker			Tryker			
_402F501624D55420	TrykerGoods	Tryker 商品			Tryker 商品			
_CBB743E46993B57A	TrykerMystery	Tryker 奥秘			Tryker 奥秘			
_248432101928BBBE	TwoHandedCombat	双手格斗			双手格斗			
_E2FC6B5410562272	TwoHandsSword	双手剑			双手剑			
_B76D4C20B7AD6450	UnderwaterExtract	水下提取			水下提取			
_B87B8EF095D9B2F0	VisualWithering	视觉枯萎			视觉枯萎			
_C8A06DE5A7EC9528	VitalBurst	活力爆发			活力爆发			
_E81EF286B90381FD	WarriorGift	武士恩赐			武士恩赐			
_7A1C339955F3BD9B	WeaponsCutting	武器割裂			武器割裂			
_2E3045112716B3BF	WindArmor	风之护甲			风之护甲			
_A687E4EE6EC9F032	WindGift	风之恩赐			风之恩赐			
_2E300D099F3763E3	WindShear	风切变			风切变			
_AB51CA9C65185C9F	Zorai	Zoraï			Zoraï			
_1D1AA7DA5B30C8BD	ZoraiGoods	Zoraï 商品			Zoraï 商品			
_5DC1BB09C5A79A88	ZoraiMystery	Zoraï 奥秘			Zoraï 奥秘			
_38BF105E6F762063	TrainingImpactResist2	训练冲击抗性 2			训练冲击抗性 2			
_38BF145E6F762065	TrainingImpactResist3	训练冲击抗性 3			训练冲击抗性 3			
_172111EF5712135D	TrainingMagicResist2	训练魔法抗性 2			训练魔法抗性 2			
_573111EF5722135D	TrainingMagicResist3	训练魔法抗性 3			训练魔法抗性 3			
_9E1F915ACB35C52D	MakeEnchantedWeapons	制作附魔武器			制作附魔武器			
_9572881FC4B3A0FF	MakeEnchantedArmors	制作附魔护甲			制作附魔护甲			
_5E4664F242913805	MakeVampiricWeapons	制作汲血武器			制作汲血武器			
_F08B51C1E52ECB1C	MakeEnchantedFloralPatternLivingClothes	制作附魔花卉花纹生命服装			制作附魔花卉花纹生命服装			
_E1010856D5D5F588	MakeDeadlyHarpoongun	制作致命鱼叉枪			制作致命鱼叉枪			
_49D2F4340178168F	MakeHuntingArmors	制作狩猎护甲			制作狩猎护甲			
_C31F80337ECA6372	MakeRitualClothes	制作仪式服装			制作仪式服装			
_1DE8C3273B0B137B	MakeRitualJewels	制作仪式首饰			制作仪式首饰			
_D8145C8EEA5A3CA6	SC	制造			制造			制造
_5654AC8E60988490	SM	魔法			魔法			魔法
_4A528987D8F5BA5B	SMT	冲击魔法			冲击魔法			目标指向魔法
_29D259A451019CA9	SMTM	飞弹魔法			飞弹魔法			目标指向魔法 飞弹
_5C0F8F5DAF790C9D	SMTMR	原始魔法			原始魔法			目标指向魔法 飞弹 - 原始
_0AD18AB0336B9683	SMTMG	Atys 魔法			Atys 魔法			目标指向魔法 飞弹 - Atys
_D597B4747E2BAA66	SMTMB	天界魔法			天界魔法			目标指向魔法 飞弹 - 天界
_9F35DAC8D1B39346	SMTO	进攻魔法			进攻魔法			目标指向魔法 进攻
_CB82E2397BAB1530	SMTOD	物理魔法			物理魔法			目标指向魔法 进攻 伤害
_D9108D1AEB774F37	SMTODP	穿刺魔法			穿刺魔法			目标指向魔法 进攻 伤害 - 穿刺
_1CA0811AACF71B33	SMTODB	砸击魔法			砸击魔法			目标指向魔法 进攻 伤害 - 砸击
_DCA081196CF75F33	SMTODS	劈砍魔法			劈砍魔法			目标指向魔法 进攻 伤害 - 劈砍
_4D659DBE6F770808	SMTOE	元素魔法			元素魔法			目标指向魔法 进攻 特殊伤害
_B35ED2172BAE8E5E	SMTOEC	冰霜魔法			冰霜魔法			目标指向魔法 进攻 特殊伤害 - 冰霜
_B35EC605A56E865E	SMTOEA	酸蚀魔法			酸蚀魔法			目标指向魔法 进攻 特殊伤害 - 酸蚀
_F117FF29E7251AB6	SMTOER	腐蚀魔法			腐蚀魔法			目标指向魔法 进攻 特殊伤害 - 腐蚀
_B36EF21DEA0E9A5E	SMTOEF	火焰魔法			火焰魔法			目标指向魔法 进攻 特殊伤害 - 火焰
_4EBA8627BCE9FB22	SMTOES	冲击波魔法			冲击波魔法			目标指向魔法 进攻 特殊伤害 - 冲击波
_3067100BD3BAF278	SMTOEP	毒素魔法			毒素魔法			目标指向魔法 进攻 特殊伤害 - 毒素
_D21C1B9D62E4E80B	SMTOEE	闪电魔法			闪电魔法			目标指向魔法 进攻 特殊伤害 - 闪电
_98C6999187B4ECD5	SMTC	疗愈魔法			疗愈魔法			目标指向魔法 疗愈
_1C592673394B71F2	SMTCH	治疗魔法			治疗魔法			目标指向魔法 疗愈 治疗
_4DB24B824181B32C	SMTCHP	HP 治疗魔法			HP 治疗魔法			目标指向魔法 疗愈 治疗 - 生命值
_AB6C41A608125261	SMTCHT	耐力治疗魔法			耐力治疗魔法			目标指向魔法 疗愈 治疗 - 耐力
_E66C7DA243120670	SMTCHA	树液治疗魔法			树液治疗魔法			目标指向魔法 疗愈 治疗 - 树液
_9AE1FE031A7EE557	SMTCHC	专注治疗魔法			专注治疗魔法			目标指向魔法 疗愈 治疗 - 专注
_46B77B460102495E	SMTCB	断链			断链			目标指向魔法 疗愈 断链
_462522C946AAA84C	SMTCBD	断链伤害			断链伤害			目标指向魔法 疗愈 断链 - 伤害
_BAED0EEFDA4CAF03	SMTCBS	断链疾病			断链疾病			目标指向魔法 疗愈 断链 - 疾病
_7DF1A856845BD4A4	SMTCBC	断链诅咒			断链诅咒			目标指向魔法 疗愈 断链 - 诅咒
_EC5CF9A83799E909	SML	联结魔法			联结魔法			联结魔法
_49BDA32074154396	SMLM	飞弹联结			飞弹联结			联结魔法 飞弹
_A5889DC6411B4045	SMLMR	原始联结			原始联结			联结魔法 飞弹 - 原始
_7F38346ED5250EB1	SMLMG	Atys 联结			Atys 联结			联结魔法 飞弹 - Atys
_F154BD51B879CEA6	SMLMB	天界联结			天界联结			联结魔法 飞弹 - 天界
_BCBB4C69BD7DC709	SMLO	进攻联结			进攻联结			联结魔法 进攻
_DBDAA3F080A8CDEA	SMLOS	疾病联结			疾病联结			联结魔法 进攻 疾病
_2AD6ADF15F54B9A9	SMLOSM	疯狂联结			疯狂联结			联结魔法 进攻 疾病 - 疯狂
_9E70C9DEE9FF46B5	SMLOSS	速度减益联结			速度减益联结			联结魔法 进攻 疾病 - 速度减益
_7E7703067DE75B7F	SMLOSR	抗性减益联结			抗性减益联结			联结魔法 进攻 疾病 - 抗性减益
_5CF0E5E2A9EF52B4	SMLOSK	技能减益联结			技能减益联结			联结魔法 进攻 疾病 - 技能减益
_1A9E72A457E6332F	SMLOC	诅咒联结			诅咒联结			联结魔法 进攻 诅咒
_A24F5221B08315C8	SMLOCI	失能联结			失能联结			联结魔法 进攻 诅咒 - 失能
_7AB2ED7B34EF2467	SMLOCM	精神扰乱联结			精神扰乱联结			联结魔法 进攻 诅咒 - 精神扰乱
_6B2E163F2752E1E9	SMLOCS	不幸联结			不幸联结			联结魔法 进攻 诅咒 - 不幸
_69C1EA4113DCAA84	SMLOCH	憎恨联结			憎恨联结			联结魔法 进攻 诅咒 - 憎恨
_A366797FAB86DDB9	SMLOD	物理联结			物理联结			联结魔法 进攻 伤害
_D4930C23EB04A3FB	SMLODP	穿刺联结			穿刺联结			联结魔法 进攻 伤害 - 穿刺
_D433281CECA477FB	SMLODB	砸击联结			砸击联结			联结魔法 进攻 伤害 - 砸击
_D433281C6C94BBFB	SMLODS	劈砍联结			劈砍联结			联结魔法 进攻 伤害 - 劈砍
_CB32B9D795344045	SMLOE	元素联结			元素联结			联结魔法 进攻 特殊伤害
_AC052ACEDC879E4D	SMLOEC	冰霜联结			冰霜联结			联结魔法 进攻 特殊伤害 - 冰霜
_EB4522C8D647964D	SMLOEA	酸蚀联结			酸蚀联结			联结魔法 进攻 特殊伤害 - 酸蚀
_A77ED7C6453198F2	SMLOER	腐蚀联结			腐蚀联结			联结魔法 进攻 特殊伤害 - 腐蚀
_2DA53EDADAE7AA4E	SMLOEF	火焰联结			火焰联结			联结魔法 进攻 特殊伤害 - 火焰
_A794EB51965BCCCC	SMLOES	冲击波联结			冲击波联结			联结魔法 进攻 特殊伤害 - 冲击波
_59AA2974CC81CA3D	SMLOEP	毒素联结			毒素联结			联结魔法 进攻 特殊伤害 - 毒素
