*HASH_VALUE	sphrase ID	name	* noms français	ia	da	p	pia	pda	description
_1CD63F5A46202A42	abfcb06	HP 点数升级							赋予你一个消耗生命值的点数节。
_1CD63F5A46302A42	abfcb07	HP 点数升级							赋予你一个消耗生命值的点数节。
_1CD63F5A46402A42	abfcb08	HP 点数升级							赋予你一个消耗生命值的点数节。
_1CD63F5A46502A42	abfcb09	HP 点数升级							赋予你一个消耗生命值的点数节。
_1CD63F5A46C02E42	abfcb10	HP 点数升级							赋予你一个消耗生命值的点数节。
_45137A24795BE8EE	abfcc01	闪避后攻击 1							提升伤害（至多翻倍）——对推荐技能等级 20 的武器效率最高。仅在闪避后可用。
_45237A24B96BE8EE	abfcc02	闪避后攻击 2							提升伤害（至多翻倍）——对推荐技能等级 30 的武器效率最高。仅在闪避后可用。
_45337A29FA7BE8EE	abfcc03	闪避后攻击 3							提升伤害（至多翻倍）——对推荐技能等级 45 的武器效率最高。仅在闪避后可用。
_45437A24BA8BE8EE	abfcc04	闪避后攻击 4							提升伤害（至多翻倍）——对推荐技能等级 70 的武器效率最高。仅在闪避后可用。
_45537A243B9BE8EE	abfcc05	闪避后攻击 5							提升伤害（至多翻倍）——对推荐技能等级 90 的武器效率最高。仅在闪避后可用。
_75109F1C5544AF5B	abfcc06	闪避后攻击 6							提升伤害（至多翻倍）——对推荐技能等级 115 的武器效率最高。仅在闪避后可用。
_75208B1F5554AF5B	abfcc07	闪避后攻击 7							提升伤害（至多翻倍）——对推荐技能等级 140 的武器效率最高。仅在闪避后可用。
_75309F215564AF5B	abfcc08	闪避后攻击 8							提升伤害（至多翻倍）——对推荐技能等级 165 的武器效率最高。仅在闪避后可用。
_75408B245574AF5B	abfcc09	闪避后攻击 9							提升伤害（至多翻倍）——对推荐技能等级 190 的武器效率最高。仅在闪避后可用。
_FF9A3608ED4E331B	abfcc10	闪避后攻击 10							提升伤害（至多翻倍）——对推荐技能等级 215 的武器效率最高。仅在闪避后可用。
_3F9A4A08ED5E331B	abfcc11	闪避后攻击 11							提升伤害（至多翻倍）——对推荐技能等级 265 的武器效率最高。仅在闪避后可用。
_E1B9C8AA445797A9	abfcd01	格挡后攻击 1							降低敌人闪避的几率——对推荐技能等级 20 的武器效率最高。仅在格挡后可用。
_E1C9C8AA44B79BA9	abfcd02	格挡后攻击 2							降低敌人闪避的几率——对推荐技能等级 35 的武器效率最高。仅在格挡后可用。
_E1D9C8AA4477A3A9	abfcd03	格挡后攻击 3							降低敌人闪避的几率——对推荐技能等级 50 的武器效率最高。仅在格挡后可用。
_E1E9C8AA44D7A7A9	abfcd04	格挡后攻击 4							降低敌人闪避的几率——对推荐技能等级 65 的武器效率最高。仅在格挡后可用。
_E1F9C8AA4497B3A9	abfcd05	格挡后攻击 5							降低敌人闪避的几率——对推荐技能等级 90 的武器效率最高。仅在格挡后可用。
_5D21A7788FC82542	abfcd06	格挡后攻击 6							降低敌人闪避的几率——对推荐技能等级 115 的武器效率最高。仅在格挡后可用。
_5D31A7784E082542	abfcd07	格挡后攻击 7							降低敌人闪避的几率——对推荐技能等级 140 的武器效率最高。仅在格挡后可用。
_5D41A7784E482542	abfcd08	格挡后攻击 8							降低敌人闪避的几率——对推荐技能等级 170 的武器效率最高。仅在格挡后可用。
_5D51A7784EE82942	abfcd09	格挡后攻击 9							降低敌人闪避的几率——对推荐技能等级 200 的武器效率最高。仅在格挡后可用。
_43BC5600C3F666D3	abfcd10	格挡后攻击 10							降低敌人闪避的几率——对推荐技能等级 235 的武器效率最高。仅在格挡后可用。
_83BC5600C40666D3	abfcd11	格挡后攻击 11							降低敌人闪避的几率——对推荐技能等级 275 的武器效率最高。仅在格挡后可用。
_604F56ED5F5B0DDE	abfce01	暴击后攻击 1							赋予你一个战斗用的"暴击后攻击"点数节。
_604F5AED5F6B0DDE	abfce02	暴击后攻击 2							赋予你一个战斗用的"暴击后攻击"点数节。
_604F5EED5F7B0DDE	abfce03	暴击后攻击 3							赋予你一个战斗用的"暴击后攻击"点数节。
_604F62ED5F8B0DDE	abfce04	暴击后攻击 4							赋予你一个战斗用的"暴击后攻击"点数节。
_604F66ED5F9B0DDE	abfce05	暴击后攻击 5							赋予你一个战斗用的"暴击后攻击"点数节。
_604F6AED5FAB0DDE	abfce06	暴击后攻击 6							赋予你一个战斗用的"暴击后攻击"点数节。
_604F6EED5FBB0DDE	abfce07	暴击后攻击 7							赋予你一个战斗用的"暴击后攻击"点数节。
_604F72ED5FCB0DDE	abfce08	暴击后攻击 8							赋予你一个战斗用的"暴击后攻击"点数节。
_604F76ED5FDB0DDE	abfce09	暴击后攻击 9							赋予你一个战斗用的"暴击后攻击"点数节。
_3126B3CC4CDFE072	abfce10	暴击后攻击 10							赋予你一个战斗用的"暴击后攻击"点数节。
_3136B3CC4CEFE072	abfce11	暴击后攻击 11							赋予你一个战斗用的"暴击后攻击"点数节。
_DF30CD79CE5422FD	ABPPC01	体质升级 1							提升你的体质和生命值。
_DF30CD79CE6426FD	ABPPC02	体质升级 2							提升你的体质和生命值。
_DF30CD79CE742AFD	ABPPC03	体质升级 3							提升你的体质和生命值。
_DF30CD79CE842EFD	ABPPC04	体质升级 4							提升你的体质和生命值。
_DF30CD79CE9432FD	ABPPC05	体质升级 5							提升你的体质和生命值。
_DF30CD79CEA436FD	ABPPC06	体质升级 6							提升你的体质和生命值。
_DF30CD79CEB43AFD	ABPPC07	体质升级 7							提升你的体质和生命值。
_DF30CD79CEC43EFD	ABPPC08	体质升级 8							提升你的体质和生命值。
_DF30CD79CED442FD	ABPPC09	体质升级 9							提升你的体质和生命值。
_BCB8F0A7A08E9A5D	ABPPC10	体质升级 10							提升你的体质和生命值。
_BCB8F0A7A0AE9A5D	ABPPC11	体质升级 11							提升你的体质和生命值。
_BCB8F0A7A0CE9A5D	ABPPC12	体质升级 12							提升你的体质和生命值。
_BCB8F0A7A0EE9A5D	ABPPC13	体质升级 13							提升你的体质和生命值。
_BCB8F0A7A00E9A5D	ABPPC14	体质升级 14							提升你的体质和生命值。
_BCB8F0A7A02E9A5D	ABPPC15	体质升级 15							提升你的体质和生命值。
_BCB8F0A7A04E9A5D	ABPPC16	体质升级 16							提升你的体质和生命值。
_BCB8F0A7A06E9A5D	ABPPC17	体质升级 17							提升你的体质和生命值。
_BCB8F0A7A08E9A5D	ABPPC18	体质升级 18							提升你的体质和生命值。
_BCB8F0A7A0AE9A5D	ABPPC19	体质升级 19							提升你的体质和生命值。
_BCB8F0A7A08EA25D	ABPPC20	体质升级 20							提升你的体质和生命值。
_BCB8F0A7A0AEA25D	ABPPC21	体质升级 21							提升你的体质和生命值。
_BCB8F0A7A0CEA25D	ABPPC22	体质升级 22							提升你的体质和生命值。
_BCB8F0A7A0EEA25D	ABPPC23	体质升级 23							提升你的体质和生命值。
_BCB8F0A7A00EA25D	ABPPC24	体质升级 24							提升你的体质和生命值。
_BCB8F0A7A02EA25D	ABPPC25	体质升级 25							提升你的体质和生命值。
_FEF681FA51AF0BFA	ABPPC26	体质升级 26							提升你的体质和生命值。
_FEF681FA51CF0BFA	ABPPC27	体质升级 27							提升你的体质和生命值。
_FEF681FA51EF0BFA	ABPPC28	体质升级 28							提升你的体质和生命值。
_FEF681FA510F0BFA	ABPPC29	体质升级 29							提升你的体质和生命值。
_FEF681FA51EF13FA	ABPPC30	体质升级 30							提升你的体质和生命值。
_FEF681FA510F13FA	ABPPC31	体质升级 31							提升你的体质和生命值。
_FEF681FA512F13FA	ABPPC32	体质升级 32							提升你的体质和生命值。
_FEF681FA514F13FA	ABPPC33	体质升级 33							提升你的体质和生命值。
_FEF681FA516F13FA	ABPPC34	体质升级 34							提升你的体质和生命值。
_FEF681FA518F13FA	ABPPC35	体质升级 35							提升你的体质和生命值。
_FEF681FA51AF13FA	ABPPC36	体质升级 36							提升你的体质和生命值。
_FEF681FA51CF13FA	ABPPC37	体质升级 37							提升你的体质和生命值。
_FEF681FA51EF13FA	ABPPC38	体质升级 38							提升你的体质和生命值。
_FEF681FA510F13FA	ABPPC39	体质升级 39							提升你的体质和生命值。
_FEF681FA51EF1BFA	ABPPC40	体质升级 40							提升你的体质和生命值。
_FEF681FA510F1BFA	ABPPC41	体质升级 41							提升你的体质和生命值。
_FEF681FA512F1BFA	ABPPC42	体质升级 42							提升你的体质和生命值。
_FEF681FA514F1BFA	ABPPC43	体质升级 43							提升你的体质和生命值。
_FEF681FA516F1BFA	ABPPC44	体质升级 44							提升你的体质和生命值。
_FEF681FA518F1BFA	ABPPC45	体质升级 45							提升你的体质和生命值。
_FEF681FA51AF1BFA	ABPPC46	体质升级 46							提升你的体质和生命值。
_FEF681FA51CF1BFA	ABPPC47	体质升级 47							提升你的体质和生命值。
_FEF681FA51EF1BFA	ABPPC48	体质升级 48							提升你的体质和生命值。
_FEF681FA510F1BFA	ABPPC49	体质升级 49							提升你的体质和生命值。
_FEF681FA51EF23FA	ABPPC50	体质升级 50							提升你的体质和生命值。
_09FB58BF0EA0ADD0	ABPPM01	新陈代谢升级 1							提升你的新陈代谢和生命值回复速度。
_49FB58BF0EB0ADD0	ABPPM02	新陈代谢升级 2							提升你的新陈代谢和生命值回复速度。
_89FB58BF0EC0ADD0	ABPPM03	新陈代谢升级 3							提升你的新陈代谢和生命值回复速度。
_CAFB58BF0ED0ADD0	ABPPM04	新陈代谢升级 4							提升你的新陈代谢和生命值回复速度。
_0AFB58BF0EE0ADD0	ABPPM05	新陈代谢升级 5							提升你的新陈代谢和生命值回复速度。
_4AFB58BF0EF0ADD0	ABPPM06	新陈代谢升级 6							提升你的新陈代谢和生命值回复速度。
_8AFB58BF0E00ADD0	ABPPM07	新陈代谢升级 7							提升你的新陈代谢和生命值回复速度。
_CBFB58BF0E10ADD0	ABPPM08	新陈代谢升级 8							提升你的新陈代谢和生命值回复速度。
_0BFB58BF0E20ADD0	ABPPM09	新陈代谢升级 9							提升你的新陈代谢和生命值回复速度。
_03F5F4A4DAEFEC28	ABPPM10	新陈代谢升级 10							提升你的新陈代谢和生命值回复速度。
_03F5F4A4DAFFEC29	ABPPM11	新陈代谢升级 11							提升你的新陈代谢和生命值回复速度。
_03F5F4A4DA0FEC2A	ABPPM12	新陈代谢升级 12							提升你的新陈代谢和生命值回复速度。
_03F5F4A4DA1FEC2B	ABPPM13	新陈代谢升级 13							提升你的新陈代谢和生命值回复速度。
_03F5F4A4DA2FEC2C	ABPPM14	新陈代谢升级 14							提升你的新陈代谢和生命值回复速度。
_03F5F4A4DA3FEC2D	ABPPM15	新陈代谢升级 15							提升你的新陈代谢和生命值回复速度。
_03F5F4A4DA4FEC2E	ABPPM16	新陈代谢升级 16							提升你的新陈代谢和生命值回复速度。
_03F5F4A4DA5FEC2F	ABPPM17	新陈代谢升级 17							提升你的新陈代谢和生命值回复速度。
_03F5F4A4DA6FEC30	ABPPM18	新陈代谢升级 18							提升你的新陈代谢和生命值回复速度。
_03F5F4A4DA7FEC31	ABPPM19	新陈代谢升级 19							提升你的新陈代谢和生命值回复速度。
_43F5F4A4DAEFF028	ABPPM20	新陈代谢升级 20							提升你的新陈代谢和生命值回复速度。
_43F5F4A4DAFFF029	ABPPM21	新陈代谢升级 21							提升你的新陈代谢和生命值回复速度。
_43F5F4A4DA0FF02A	ABPPM22	新陈代谢升级 22							提升你的新陈代谢和生命值回复速度。
_43F5F4A4DA1FF02B	ABPPM23	新陈代谢升级 23							提升你的新陈代谢和生命值回复速度。
_43F5F4A4DA2FF02C	ABPPM24	新陈代谢升级 24							提升你的新陈代谢和生命值回复速度。
_43F5F4A4DA3FF02D	ABPPM25	新陈代谢升级 25							提升你的新陈代谢和生命值回复速度。
_43F5F4A4DA4FF02E	ABPPM26	新陈代谢升级 26							提升你的新陈代谢和生命值回复速度。
_43F5F4A4DA5FF02F	ABPPM27	新陈代谢升级 27							提升你的新陈代谢和生命值回复速度。
_43F5F4A4DA6FF030	ABPPM28	新陈代谢升级 28							提升你的新陈代谢和生命值回复速度。
_43F5F4A4DA7FF031	ABPPM29	新陈代谢升级 29							提升你的新陈代谢和生命值回复速度。
_83F5F4A4DAEFF428	ABPPM30	新陈代谢升级 30							提升你的新陈代谢和生命值回复速度。
_83F5F4A4DAFFF429	ABPPM31	新陈代谢升级 31							提升你的新陈代谢和生命值回复速度。
_83F5F4A4DA0FF42A	ABPPM32	新陈代谢升级 32							提升你的新陈代谢和生命值回复速度。
_83F5F4A4DA1FF42B	ABPPM33	新陈代谢升级 33							提升你的新陈代谢和生命值回复速度。
_83F5F4A4DA2FF42C	ABPPM34	新陈代谢升级 34							提升你的新陈代谢和生命值回复速度。
_83F5F4A4DA3FF42D	ABPPM35	新陈代谢升级 35							提升你的新陈代谢和生命值回复速度。
_83F5F4A4DA4FF42E	ABPPM36	新陈代谢升级 36							提升你的新陈代谢和生命值回复速度。
_83F5F4A4DA5FF42F	ABPPM37	新陈代谢升级 37							提升你的新陈代谢和生命值回复速度。
_83F5F4A4DA6FF430	ABPPM38	新陈代谢升级 38							提升你的新陈代谢和生命值回复速度。
_83F5F4A4DA7FF431	ABPPM39	新陈代谢升级 39							提升你的新陈代谢和生命值回复速度。
_C4F5F4A4DAEFF828	ABPPM40	新陈代谢升级 40							提升你的新陈代谢和生命值回复速度。
_C4F5F4A4DAFFF829	ABPPM41	新陈代谢升级 41							提升你的新陈代谢和生命值回复速度。
_C4F5F4A4DA0FF82A	ABPPM42	新陈代谢升级 42							提升你的新陈代谢和生命值回复速度。
_C4F5F4A4DA1FF82B	ABPPM43	新陈代谢升级 43							提升你的新陈代谢和生命值回复速度。
_C4F5F4A4DA2FF82C	ABPPM44	新陈代谢升级 44							提升你的新陈代谢和生命值回复速度。
_C4F5F4A4DA3FF82D	ABPPM45	新陈代谢升级 45							提升你的新陈代谢和生命值回复速度。
_C4F5F4A4DA4FF82E	ABPPM46	新陈代谢升级 46							提升你的新陈代谢和生命值回复速度。
_C4F5F4A4DA5FF82F	ABPPM47	新陈代谢升级 47							提升你的新陈代谢和生命值回复速度。
_C4F5F4A4DA6FF830	ABPPM48	新陈代谢升级 48							提升你的新陈代谢和生命值回复速度。
_C4F5F4A4DA7FF831	ABPPM49	新陈代谢升级 49							提升你的新陈代谢和生命值回复速度。
_04F5F4A4DAEFFC28	ABPPM50	新陈代谢升级 50							提升你的新陈代谢和生命值回复速度。
_D56B5224445617B4	ABPPI01	智力升级 1							提升你的智力和树液。
_D56B522444661BB4	ABPPI02	智力升级 2							提升你的智力和树液。
_D56B522444761FB4	ABPPI03	智力升级 3							提升你的智力和树液。
_D56B5224448623B4	ABPPI04	智力升级 4							提升你的智力和树液。
_D56B5224449627B4	ABPPI05	智力升级 5							提升你的智力和树液。
_D56B522444A62BB4	ABPPI06	智力升级 6							提升你的智力和树液。
_D56B522444B62FB4	ABPPI07	智力升级 7							提升你的智力和树液。
_D56B522444C633B4	ABPPI08	智力升级 8							提升你的智力和树液。
_D56B522444D637B4	ABPPI09	智力升级 9							提升你的智力和树液。
_6CBE7695E6342846	ABPPI10	智力升级 10							提升你的智力和树液。
_6CBE7695E6542846	ABPPI11	智力升级 11							提升你的智力和树液。
_6CBE7695E6742846	ABPPI12	智力升级 12							提升你的智力和树液。
_6CBE7695E6942846	ABPPI13	智力升级 13							提升你的智力和树液。
_6CBE7695E6B42846	ABPPI14	智力升级 14							提升你的智力和树液。
_6CBE7695E6D42846	ABPPI15	智力升级 15							提升你的智力和树液。
_6CBE7695E6F42846	ABPPI16	智力升级 16							提升你的智力和树液。
_6CBE7695E6142846	ABPPI17	智力升级 17							提升你的智力和树液。
_6CBE7695E6342846	ABPPI18	智力升级 18							提升你的智力和树液。
_6CBE7695E6542846	ABPPI19	智力升级 19							提升你的智力和树液。
_6CBE7695E6343046	ABPPI20	智力升级 20							提升你的智力和树液。
_6CBE7695E6543046	ABPPI21	智力升级 21							提升你的智力和树液。
_6CBE7695E6743046	ABPPI22	智力升级 22							提升你的智力和树液。
_6CBE7695E6943046	ABPPI23	智力升级 23							提升你的智力和树液。
_6CBE7695E6B43046	ABPPI24	智力升级 24							提升你的智力和树液。
_6CBE7695E6D43046	ABPPI25	智力升级 25							提升你的智力和树液。
_D56B522401F323B4	ABPPI26	智力升级 26							提升你的智力和树液。
_D56B5224011323B4	ABPPI27	智力升级 27							提升你的智力和树液。
_D56B5224013323B4	ABPPI28	智力升级 28							提升你的智力和树液。
_D56B5224015323B4	ABPPI29	智力升级 29							提升你的智力和树液。
_D56B522401332BB4	ABPPI30	智力升级 30							提升你的智力和树液。
_D56B522401532BB4	ABPPI31	智力升级 31							提升你的智力和树液。
_D56B522401732BB4	ABPPI32	智力升级 32							提升你的智力和树液。
_D56B522401932BB4	ABPPI33	智力升级 33							提升你的智力和树液。
_D56B522401B32BB4	ABPPI34	智力升级 34							提升你的智力和树液。
_D56B522401D32BB4	ABPPI35	智力升级 35							提升你的智力和树液。
_D56B522401F32BB4	ABPPI36	智力升级 36							提升你的智力和树液。
_D56B522401132BB4	ABPPI37	智力升级 37							提升你的智力和树液。
_D56B522401332BB4	ABPPI38	智力升级 38							提升你的智力和树液。
_D56B522401532BB4	ABPPI39	智力升级 39							提升你的智力和树液。
_D56B5224013333B4	ABPPI40	智力升级 40							提升你的智力和树液。
_D56B5224015333B4	ABPPI41	智力升级 41							提升你的智力和树液。
_D56B5224017333B4	ABPPI42	智力升级 42							提升你的智力和树液。
_D56B5224019333B4	ABPPI43	智力升级 43							提升你的智力和树液。
_D56B522401B333B4	ABPPI44	智力升级 44							提升你的智力和树液。
_D56B522401D333B4	ABPPI45	智力升级 45							提升你的智力和树液。
_D56B522401F333B4	ABPPI46	智力升级 46							提升你的智力和树液。
_D56B5224011333B4	ABPPI47	智力升级 47							提升你的智力和树液。
_D56B5224013333B4	ABPPI48	智力升级 48							提升你的智力和树液。
_D56B5224015333B4	ABPPI49	智力升级 49							提升你的智力和树液。
_D56B522401333BB4	ABPPI50	智力升级 50							提升你的智力和树液。
_0EFA7733CF3E0D51	ABPPW01	智慧升级 1							提升你的智慧和树液回复速度。
_0EFA77330F4E0D51	ABPPW02	智慧升级 2							提升你的智慧和树液回复速度。
_0EFA77334F5E0D51	ABPPW03	智慧升级 3							提升你的智慧和树液回复速度。
_0EFA7733906E0D51	ABPPW04	智慧升级 4							提升你的智慧和树液回复速度。
_0EFA7733D07E0D51	ABPPW05	智慧升级 5							提升你的智慧和树液回复速度。
_0EFA7733108E0D51	ABPPW06	智慧升级 6							提升你的智慧和树液回复速度。
_0EFA7733509E0D51	ABPPW07	智慧升级 7							提升你的智慧和树液回复速度。
_0EFA773391AE0D51	ABPPW08	智慧升级 8							提升你的智慧和树液回复速度。
_0EFA7733D1BE0D51	ABPPW09	智慧升级 9							提升你的智慧和树液回复速度。
_7837228C591F6452	ABPPW10	智慧升级 10							提升你的智慧和树液回复速度。
_7837228D592F6452	ABPPW11	智慧升级 11							提升你的智慧和树液回复速度。
_7837228E593F6452	ABPPW12	智慧升级 12							提升你的智慧和树液回复速度。
_7837228F594F6452	ABPPW13	智慧升级 13							提升你的智慧和树液回复速度。
_78372290595F6452	ABPPW14	智慧升级 14							提升你的智慧和树液回复速度。
_78372291596F6452	ABPPW15	智慧升级 15							提升你的智慧和树液回复速度。
_78372292597F6452	ABPPW16	智慧升级 16							提升你的智慧和树液回复速度。
_78372293598F6452	ABPPW17	智慧升级 17							提升你的智慧和树液回复速度。
_78372294599F6452	ABPPW18	智慧升级 18							提升你的智慧和树液回复速度。
_7837229559AF6452	ABPPW19	智慧升级 19							提升你的智慧和树液回复速度。
_7837228C991F6852	ABPPW20	智慧升级 20							提升你的智慧和树液回复速度。
_7837228D992F6852	ABPPW21	智慧升级 21							提升你的智慧和树液回复速度。
_7837228E993F6852	ABPPW22	智慧升级 22							提升你的智慧和树液回复速度。
_7837228F994F6852	ABPPW23	智慧升级 23							提升你的智慧和树液回复速度。
_78372290995F6852	ABPPW24	智慧升级 24							提升你的智慧和树液回复速度。
_78372291996F6852	ABPPW25	智慧升级 25							提升你的智慧和树液回复速度。
_67425BC69A5BFCF8	ABPPW26	智慧升级 26							提升你的智慧和树液回复速度。
_67425BC79A6BFCF8	ABPPW27	智慧升级 27							提升你的智慧和树液回复速度。
_67425BC89A7BFCF8	ABPPW28	智慧升级 28							提升你的智慧和树液回复速度。
_67425BC99A8BFCF8	ABPPW29	智慧升级 29							提升你的智慧和树液回复速度。
_67425BC0DAFB00F8	ABPPW30	智慧升级 30							提升你的智慧和树液回复速度。
_67425BC1DA0B00F8	ABPPW31	智慧升级 31							提升你的智慧和树液回复速度。
_67425BC2DA1B00F8	ABPPW32	智慧升级 32							提升你的智慧和树液回复速度。
_67425BC3DA2B00F8	ABPPW33	智慧升级 33							提升你的智慧和树液回复速度。
_67425BC4DA3B00F8	ABPPW34	智慧升级 34							提升你的智慧和树液回复速度。
_67425BC5DA4B00F8	ABPPW35	智慧升级 35							提升你的智慧和树液回复速度。
_67425BC6DA5B00F8	ABPPW36	智慧升级 36							提升你的智慧和树液回复速度。
_67425BC7DA6B00F8	ABPPW37	智慧升级 37							提升你的智慧和树液回复速度。
_67425BC8DA7B00F8	ABPPW38	智慧升级 38							提升你的智慧和树液回复速度。
_67425BC9DA8B00F8	ABPPW39	智慧升级 39							提升你的智慧和树液回复速度。
_67425BC01BFB04F8	ABPPW40	智慧升级 40							提升你的智慧和树液回复速度。
_67425BC11B0B04F8	ABPPW41	智慧升级 41							提升你的智慧和树液回复速度。
_67425BC21B1B04F8	ABPPW42	智慧升级 42							提升你的智慧和树液回复速度。
_67425BC31B2B04F8	ABPPW43	智慧升级 43							提升你的智慧和树液回复速度。
_67425BC41B3B04F8	ABPPW44	智慧升级 44							提升你的智慧和树液回复速度。
_67425BC51B4B04F8	ABPPW45	智慧升级 45							提升你的智慧和树液回复速度。
_67425BC61B5B04F8	ABPPW46	智慧升级 46							提升你的智慧和树液回复速度。
_67425BC71B6B04F8	ABPPW47	智慧升级 47							提升你的智慧和树液回复速度。
_67425BC81B7B04F8	ABPPW48	智慧升级 48							提升你的智慧和树液回复速度。
_67425BC91B8B04F8	ABPPW49	智慧升级 49							提升你的智慧和树液回复速度。
_67425BC05BFB08F8	ABPPW50	智慧升级 50							提升你的智慧和树液回复速度。
_7822A3BC78C893F5	ABPPS01	力量升级 1							提升你的力量和耐力。
_782227BC78D893F5	ABPPS02	力量升级 2							提升你的力量和耐力。
_78222BBC78E893F5	ABPPS03	力量升级 3							提升你的力量和耐力。
_78222FBC78F893F5	ABPPS04	力量升级 4							提升你的力量和耐力。
_782233BC780893F5	ABPPS05	力量升级 5							提升你的力量和耐力。
_782237BC781893F5	ABPPS06	力量升级 6							提升你的力量和耐力。
_78223BBC782893F5	ABPPS07	力量升级 7							提升你的力量和耐力。
_78223FBC783893F5	ABPPS08	力量升级 8							提升你的力量和耐力。
