*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
_E0C1F562292F41AC	icfm2bm	Hamp 锤			Hamp 锤			双手 Fyros 长锤
_65FB492AE38AC820	icfm2pp	Punnel 长矛			Punnel 长矛			双手 Fyros 长矛
_F9D3499135AB3167	icfm2sa	Retch 斧			Retch 斧			双手 Fyros 长斧
_89F6AEE1C6A6EEBC	icfm2sab	燃烧 Retch 斧			燃烧 Retch 斧			双手燃烧长斧
_1C23714C3DF4B115	icfm2ss	Stavon 剑			Stavon 剑			双手 Fyros 长剑
_B4A7D7BCCC33A501	icfm2ssb	燃烧 Stavon 剑			燃烧 Stavon 剑			双手燃烧长剑
_BA39E11E74708054	icfp1bb	Kolton 砸击弹药			Kolton 砸击弹药			Fyros 弓手枪砸击弹药
_76799529F8518043	icfp1bp	Kolton 穿刺弹药			Kolton 穿刺弹药			Fyros 弓手枪穿刺弹药
_F849912FB8818048	icfp1bs	Kolton 劈砍弹药			Kolton 劈砍弹药			Fyros 弓手枪劈砍弹药
_4B472DE1910E57E9	icfp1gb	Fyros 手榴弹砸击弹药			Fyros 手榴弹砸击弹药			Fyros 手榴弹砸击弹药
_4B47E9D48EBE83F7	icfp1gp	Fyros 手榴弹穿刺弹药			Fyros 手榴弹穿刺弹药			Fyros 手榴弹穿刺弹药
_4B47FDDACDDE9BFA	icfp1gs	Fyros 手榴弹劈砍弹药			Fyros 手榴弹劈砍弹药			Fyros 手榴弹劈砍弹药
_7277BCEA51040C63	icfp1pb	Rimel 砸击弹药			Rimel 砸击弹药			Fyros 手枪砸击弹药
_B158BCD952D31061	icfp1pp	Rimel 穿刺弹药			Rimel 穿刺弹药			Fyros 手枪穿刺弹药
_7288BCDE92132060	icfp1ps	Rimel 劈砍弹药			Rimel 劈砍弹药			Fyros 手枪劈砍弹药
_3E08C5155D72B1D2	icfp2ab	Fraser 砸击弹药			Fraser 砸击弹药			Fyros 连发投射器砸击弹药
_7DD8D5059C23C1C2	icfp2ap	Fraser 穿刺弹药			Fraser 穿刺弹药			Fyros 连发投射器穿刺弹药
_3E58D9015DD3C5BE	icfp2as	Fraser 劈砍弹药			Fraser 劈砍弹药			Fyros 连发投射器劈砍弹药
_33984503B2B40BF4	icfp2bb	Strabus 砸击弹药			Strabus 砸击弹药			Fyros 弓式步枪砸击弹药
_337665E330570BF4	icfp2bp	Strabus 穿刺弹药			Strabus 穿刺弹药			Fyros 弓式步枪穿刺弹药
_33166DDBB2E70BF4	icfp2bs	Strabus 劈砍弹药			Strabus 劈砍弹药			Fyros 弓式步枪劈砍弹药
_AFD815FBB2F4830E	icfp2lb	Brazer 砸击弹药			Brazer 砸击弹药			Fyros 投射器砸击弹药
_AFB635DB3097830E	icfp2lp	Brazer 穿刺弹药			Brazer 穿刺弹药			Fyros 投射器穿刺弹药
_AF563DD3B227830E	icfp2ls	Brazer 劈砍弹药			Brazer 劈砍弹药			Fyros 投射器劈砍弹药
_39ACABED3761A88E	icfp2rb	Strammel 砸击弹药			Strammel 砸击弹药			Fyros 步枪砸击弹药
_BEAB9FFBF283687A	icfp2rp	Strammel 穿刺弹药			Strammel 穿刺弹药			Fyros 步枪穿刺弹药
_BE6BABFE34C35882	icfp2rs	Strammel 劈砍弹药			Strammel 劈砍弹药			Fyros 步枪劈砍弹药
_CE08DE8B3F1A69C1	icfr1b	Kolton 弓手枪			Kolton 弓手枪			单手 Fyros 弓手枪
_E621692BF63635A1	icfr1p	Rimel 手枪			Rimel 手枪			单手 Fyros 手枪
_0FC46EF8252566F5	icfr2a	Fraser 连发投射器			Fraser 连发投射器			双手 Fyros 连发投射器
_712026694BBC2CB4	icfr2b	Strabus 弓式步枪			Strabus 弓式步枪			双手 Fyros 弓式步枪
_35501E61C73C50B7	icfr2l	Brazer 投射器			Brazer 投射器			双手 Fyros 投射器
_AB6C6D226E272052	icfr2r	Strammel 步枪			Strammel 步枪			双手 Fyros 步枪
_6DDC751BEF3DB1F5	icfsb	Blok 小圆盾			Blok 小圆盾			Fyros 小圆盾
_B8F8790F6EDA7C0D	icfss	Stok 盾牌			Stok 盾牌			Fyros 盾牌
_C2243159B90F466A	icmahb	Parok 靴子			Parok 靴子			Matis 重型靴子
_CA81B4D64D653632	icmahg	Parok 手套			Parok 手套			Matis 重型手套
_C66198D78E651A2F	icmahh	Parok 头盔			Parok 头盔			Matis 重型头盔
_3F052D4B3D0F7E69	icmahp	Parok 裤子			Parok 裤子			Matis 重型裤子
_00A7F2C6A5248A44	icmahs	Parok 护臂			Parok 护臂			Matis 重型护臂
_CB93AD79739CF978	icmahv	Parok 背心			Parok 背心			Matis 重型背心
_43644154366F4264	icmalb	Wiva 靴子			Wiva 靴子			Matis 轻型靴子
_CBC1B4D1CA750E40	icmalg	Wiva 手套			Wiva 手套			Matis 轻型手套
_C0453D46BA6F7A63	icmalp	Wiva 裤子			Wiva 裤子			Matis 轻型裤子
_01A7F2C1E1A3B250	icmals	Wiva 护臂			Wiva 护臂			Matis 轻型护臂
_48F3BD78F0FC097B	icmalv	Wiva 背心			Wiva 背心			Matis 轻型背心
_7D5F41AB5D46D24E	icmamb	Striva 靴子			Striva 靴子			Matis 中型靴子
_B9225A0F61838E5F	icmamg	Striva 手套			Striva 手套			Matis 中型手套
_C17F79AB5D460640	icmamp	Striva 裤子			Striva 裤子			Matis 中型裤子
_47A5DB059EE0B6AC	icmams	Striva 护臂			Striva 护臂			Matis 中型护臂
_7EF2523C4753B25C	icmamv	Striva 背心			Striva 背心			Matis 中型背心
_6E687923ECB8C407	icmja	Matis 脚环			Matis 脚环			Matis 脚环
_B77B55673B1031DC	icmjb	Matis 手镯			Matis 手镯			Matis 手镯
_F0687915ECB87400	icmjd	Matis 头冠			Matis 头冠			Matis 头冠
_EC9B551D6B8EB9E7	icmje	Matis 耳环			Matis 耳环			Matis 耳环
_AF6C8915E66CB901	icmjp	Matis 吊坠			Matis 吊坠			Matis 吊坠
_1CC444CB6B698CA3	icmjr	Matis 戒指			Matis 戒指			Matis 戒指
_A40B510C24588017	icmm1bm	Bristo 锤			Bristo 锤			单手 Matis 锤
_7600690A9C683C71	icmm1bs	Battoni 杖			Battoni 杖			单手 Matis 杖
_475059F9581E2559	icmm1pd	Limmel 匕首			Limmel 匕首			单手 Matis 匕首
_760065061E070C6A	icmm1ps	Palor 矛			Palor 矛			单手 Matis 矛
_AE06AF03202B2403	icmm1sa	Haque 斧			Haque 斧			单手 Matis 斧
_7600611422788C71	icmm1ss	Klyde 剑			Klyde 剑			单手 Matis 剑
_DA41FD4AEB2F29AE	icmm2bm	Gondo 锤			Gondo 锤			双手 Matis 长锤
_650B510C2609E420	icmm2pp	Krop 长矛			Krop 长矛			双手 Matis 长矛
_7A626D79F7AB3161	icmm2sa	Klout 斧			Klout 斧			双手 Matis 长斧
_DE337934FF94B9FD	icmm2ss	Slathe 剑			Slathe 剑			双手 Matis 长剑
_3969890D36708054	icmp1bb	Riva 砸击弹药			Riva 砸击弹药			Matis 弓手枪砸击弹药
_F5A93D18BA518043	icmp1bp	Riva 穿刺弹药			Riva 穿刺弹药			Matis 弓手枪穿刺弹药
_7779391E7A818048	icmp1bs	Riva 劈砍弹药			Riva 劈砍弹药			Matis 弓手枪劈砍弹药
_4B571DCB4D7E57E9	icmp1gb	Matis 手榴弹砸击弹药			Matis 手榴弹砸击弹药			Matis 手榴弹砸击弹药
_4B57D9BE4A2E83F7	icmp1gp	Matis 手榴弹穿刺弹药			Matis 手榴弹穿刺弹药			Matis 手榴弹穿刺弹药
_4B57EDC4894E9BFA	icmp1gs	Matis 手榴弹劈砍弹药			Matis 手榴弹劈砍弹药			Matis 手榴弹劈砍弹药
_7287C4CC94832863	icmp1pb	Maka 砸击弹药			Maka 砸击弹药			Matis 手枪砸击弹药
_B168C4BB95522C61	icmp1pp	Maka 穿刺弹药			Maka 穿刺弹药			Matis 手枪穿刺弹药
_7298C4C0D5923C60	icmp1ps	Maka 劈砍弹药			Maka 劈砍弹药			Matis 手枪劈砍弹药
_0018CDFD1F12B9BA	icmp2ab	Morikov 砸击弹药			Morikov 砸击弹药			Matis 连发投射器砸击弹药
_3FE8DDED5EC3C9AA	icmp2ap	Morikov 穿刺弹药			Morikov 穿刺弹药			Matis 连发投射器穿刺弹药
_0068E1E91F73CDA6	icmp2as	Morikov 劈砍弹药			Morikov 劈砍弹药			Matis 连发投射器劈砍弹药
_334855D336B40BF4	icmp2bb	Polta 砸击弹药			Polta 砸击弹药			Matis 弓式步枪砸击弹药
_332675B3B4570BF4	icmp2bp	Polta 穿刺弹药			Polta 穿刺弹药			Matis 弓式步枪穿刺弹药
_33C67DAB36E70BF4	icmp2bs	Polta 劈砍弹药			Polta 劈砍弹药			Matis 弓式步枪劈砍弹药
_AF8825CB36F4830E	icmp2lb	Vulca 砸击弹药			Vulca 砸击弹药			Matis 投射器砸击弹药
_AF6645ABB497830E	icmp2lp	Vulca 穿刺弹药			Vulca 穿刺弹药			Matis 投射器穿刺弹药
_AF064DA33627830E	icmp2ls	Vulca 劈砍弹药			Vulca 劈砍弹药			Matis 投射器劈砍弹药
_39BCB3D578814895	icmp2rb	Stylone 砸击弹药			Stylone 砸击弹药			Matis 步枪砸击弹药
_BEBBA7E333A30881	icmp2rp	Stylone 穿刺弹药			Stylone 穿刺弹药			Matis 步枪穿刺弹药
_BE7BB3E675E3F889	icmp2rs	Stylone 劈砍弹药			Stylone 劈砍弹药			Matis 步枪劈砍弹药
_4FF7E28D398A69BB	icmr1b	Riva 弓手枪			Riva 弓手枪			单手 Matis 弓手枪
_E691392FEA1635A1	icmr1p	Maka 手枪			Maka 手枪			单手 Matis 手枪
_0F3456FA9EB506FC	icmr2a	Morikov 连发投射器			Morikov 连发投射器			双手 Matis 连发投射器
_F0B0AE72452C2CB4	icmr2b	Polta 弓式步枪			Polta 弓式步枪			双手 Matis 弓式步枪
_B4E0A66AC1AC50B7	icmr2l	Vulca 投射器			Vulca 投射器			双手 Matis 投射器
_ABDC551EE9163C52	icmr2r	Stylone 步枪			Stylone 步枪			双手 Matis 步枪
_6D4C5D176A2CCDF5	icmsb	Wod 小圆盾			Wod 小圆盾			Matis 小圆盾
_B868790370D8B40D	icmss	Takod 盾牌			Takod 盾牌			Matis 盾牌
_BE72891260F9DC14	icraba	难民靴子			难民靴子			难民靴子
_BE72891260F9EC14	icrabe	难民靴子			难民靴子			难民靴子
_BE72891260F9F414	icrabg	难民靴子			难民靴子			难民靴子
_BE72891260F92014	icrabr	难民靴子			难民靴子			难民靴子
_BE72891260F92814	icrabt	难民靴子			难民靴子			难民靴子
_BE72891260F92C14	icrabu	难民靴子			难民靴子			难民靴子
_BE72891260F93014	icrabv	难民靴子			难民靴子			难民靴子
_BE72891260F93414	icrabw	难民靴子			难民靴子			难民靴子
_874F815CEFBE38F9	icraga	难民手套			难民手套			难民手套
_874F815CEFBE48F9	icrage	难民手套			难民手套			难民手套
_874F815CEFBE50F9	icragg	难民手套			难民手套			难民手套
_874F815CEFBE7CF9	icragr	难民手套			难民手套			难民手套
_874F815CEFBE84F9	icragt	难民手套			难民手套			难民手套
_874F815CEFBE88F9	icragu	难民手套			难民手套			难民手套
_874F815CEFBE8CF9	icragv	难民手套			难民手套			难民手套
_874F815CEFBE90F9	icragw	难民手套			难民手套			难民手套
_1865E16AC30D446E	icrapa	难民护腿			难民护腿			难民护腿
_1865E16AC30D546E	icrape	难民护腿			难民护腿			难民护腿
_1865E16AC30D5C6E	icrapg	难民护腿			难民护腿			难民护腿
_1865E16AC30D886E	icrapr	难民护腿			难民护腿			难民护腿
_1865E16AC30D906E	icrapt	难民护腿			难民护腿			难民护腿
_1865E16AC30D946E	icrapu	难民护腿			难民护腿			难民护腿
_1865E16AC30D986E	icrapv	难民护腿			难民护腿			难民护腿
_1865E16AC30D9C6E	icrapw	难民护腿			难民护腿			难民护腿
_1B957678DA536B84	icrasa	难民前臂护垫			难民前臂护垫			难民前臂护垫
_1B957678DA537B84	icrase	难民前臂护垫			难民前臂护垫			难民前臂护垫
_1B957678DA538384	icrasg	难民前臂护垫			难民前臂护垫			难民前臂护垫
_1B957678DA53AF84	icrasr	难民前臂护垫			难民前臂护垫			难民前臂护垫
_1B957678DA53B784	icrast	难民前臂护垫			难民前臂护垫			难民前臂护垫
_1B957678DA53BB84	icrasu	难民前臂护垫			难民前臂护垫			难民前臂护垫
_1B957678DA53BF84	icrasv	难民前臂护垫			难民前臂护垫			难民前臂护垫
_1B957678DA53C384	icrasw	难民前臂护垫			难民前臂护垫			难民前臂护垫
_7DC05527E9B81F60	icrava	难民上衣			难民上衣			难民上衣
_7DC05527E9B82F60	icrave	难民上衣			难民上衣			难民上衣
_7DC05527E9B83760	icravg	难民上衣			难民上衣			难民上衣
_7DC05527E9B86360	icravr	难民上衣			难民上衣			难民上衣
_7DC05527E9B86B60	icravt	难民上衣			难民上衣			难民上衣
_7DC05527E9B86F60	icravu	难民上衣			难民上衣			难民上衣
_7DC05527E9B87360	icravv	难民上衣			难民上衣			难民上衣
_7DC05527E9B87760	icravw	难民上衣			难民上衣			难民上衣
_CA1DC2A322278224	ictahb	Tashok 靴子			Tashok 靴子			Tryker 重型靴子
_02D75A2324953A10	ictahg	Tashok 手套			Tashok 手套			Tryker 重型手套
_81E75A2465040E06	ictahh	Tashok 头盔			Tashok 头盔			Tryker 重型头盔
_0E3DFAA32227B616	ictahp	Tashok 裤子			Tashok 裤子			Tryker 重型裤子
_6F544B1122E2CE4D	ictahs	Tashok 护臂			Tashok 护臂			Tryker 重型护臂
_14B0D59406B55633	ictahv	Tashok 背心			Tashok 背心			Tryker 重型背心
_CB1DAE956286AA2C	ictalb	Tissan 靴子			Tissan 靴子			Tryker 轻型靴子
_02D7461022355A18	ictalg	Tissan 手套			Tissan 手套			Tryker 轻型手套
_0F3DE6956286DE1E	ictalp	Tissan 裤子			Tissan 裤子			Tryker 轻型裤子
_6F5423F52462EE51	ictals	Tissan 护臂			Tissan 护臂			Tryker 轻型护臂
_15F0C18687A52E3D	ictalv	Tissan 背心			Tissan 背心			Tryker 轻型背心
_AE397F1266451EF0	ictamb	Fabren 靴子			Fabren 靴子			Tryker 中型靴子
_D7FC2BF7A422FE08	ictamg	Fabren 手套			Fabren 手套			Tryker 中型手套
_32397F1266351AF0	ictamp	Fabren 裤子			Fabren 裤子			Tryker 中型裤子
_E40D07FCD537C25A	ictams	Fabren 护臂			Fabren 护臂			Tryker 中型护臂
_0160BEE62636CE0F	ictamv	Fabren 背心			Fabren 背心			Tryker 中型背心
_3721351EEF5E459E	ictja	Tryker 脚环			Tryker 脚环			Tryker 脚环
_F2E7C273FB0C49D6	ictjb	Tryker 手镯			Tryker 手镯			Tryker 手镯
_37B019166B6E3DA4	ictjd	Tryker 头冠			Tryker 头冠			Tryker 头冠
_EE308986813FC4F7	ictje	Tryker 耳环			Tryker 耳环			Tryker 耳环
_EE81517AFFAFD41A	ictjp	Tryker 吊坠			Tryker 吊坠			Tryker 吊坠
_8F4C5D0EED1A7881	ictjr	Tryker 戒指			Tryker 戒指			Tryker 戒指
_87B0811CE105D390	ictm1bm	Tumbler 锤			Tumbler 锤			单手 Tryker 锤
_417F890F644DCBFD	ictm1bs	Brok 杖			Brok 杖			单手 Tryker 杖
_8360755CF159A8DB	ictm1pd	Fyler 匕首			Fyler 匕首			单手 Tryker 匕首
_415F7129DA6B03FD	ictm1ps	Pyker 矛			Pyker 矛			单手 Tryker 矛
_D6C12D1F6DA77F49	ictm1sa	Lopper 斧			Lopper 斧			单手 Tryker 斧
_413FE92BE44D0FFD	ictm1ss	Tanner 剑			Tanner 剑			单手 Tryker 剑
_D36FBD90F4FEB959	ictm2bm	Gaffer 锤			Gaffer 锤			双手 Tryker 长锤
_87B08124E5E71791	ictm2pp	Jak 长矛			Jak 长矛			双手 Tryker 长矛
_5581A236C75A0F61	ictm2sa	Weld 斧			Weld 斧			双手 Tryker 长斧
_907D86C705765942	ictm2ss	Flence 剑			Flence 剑			双手 Tryker 长剑
_2C84A99D45E8C0B0	ictp1bb	Fletcher 砸击弹药			Fletcher 砸击弹药			Tryker 弓手枪砸击弹药
_6C649DAB45B8D08F	ictp1bp	Fletcher 穿刺弹药			Fletcher 穿刺弹药			Tryker 弓手枪穿刺弹药
_6D54A9AE4538D490	ictp1bs	Fletcher 劈砍弹药			Fletcher 劈砍弹药			Tryker 弓手枪劈砍弹药
_2959A5DB38B00D97	ictp1gb	Tryker 手榴弹砸击弹药			Tryker 手榴弹砸击弹药			Tryker 手榴弹砸击弹药
_2937C5BBB6530D97	ictp1gp	Tryker 手榴弹穿刺弹药			Tryker 手榴弹穿刺弹药			Tryker 手榴弹穿刺弹药
_29D7CDB338E30D97	ictp1gs	Tryker 手榴弹劈砍弹药			Tryker 手榴弹劈砍弹药			Tryker 手榴弹劈砍弹药
_50AF7CF45310963B	ictp1hb	Poon 砸击弹药			Poon 砸击弹药			Tryker 鱼叉砸击弹药
_63D6322B8405A6FB	ictp1hp	Poon 穿刺弹药			Poon 穿刺弹药			Tryker 鱼叉穿刺弹药
_A5E6362F4365B2FB	ictp1hs	Poon 劈砍弹药			Poon 劈砍弹药			Tryker 鱼叉劈砍弹药
_1E27B1F9950D5614	ictp1pb	Rade 砸击弹药			Rade 砸击弹药			Tryker 手枪砸击弹药
_1E276DEC92BD8222	ictp1pp	Rade 穿刺弹药			Rade 穿刺弹药			Tryker 手枪穿刺弹药
_1E2781F2D1DD9A25	ictp1ps	Rade 劈砍弹药			Rade 劈砍弹药			Tryker 手枪劈砍弹药
_DCD6D6A6B34CEDDA	ictp2ab	Rayler 砸击弹药			Rayler 砸击弹药			Tryker 连发投射器砸击弹药
_61D5CAB46E6EADC6	ictp2ap	Rayler 穿刺弹药			Rayler 穿刺弹药			Tryker 连发投射器穿刺弹药
_6195D6B7B0AE9DCE	ictp2as	Rayler 劈砍弹药			Rayler 劈砍弹药			Tryker 连发投射器劈砍弹药
_303A2124AB0C1888	ictp2bb	Flunker 砸击弹药			Flunker 砸击弹药			Tryker 弓式步枪砸击弹药
_EC7AD52F2FED1877	ictp2bp	Flunker 穿刺弹药			Flunker 穿刺弹药			Tryker 弓式步枪穿刺弹药
_6E4AD135EF1D187C	ictp2bs	Flunker 劈砍弹药			Flunker 劈砍弹药			Tryker 弓式步枪劈砍弹药
_2F990914AB7D5883	ictp2lb	Doomer 砸击弹药			Doomer 砸击弹药			Tryker 投射器砸击弹药
_EBD9BD1F2F5E5872	ictp2lp	Doomer 穿刺弹药			Doomer 穿刺弹药			Tryker 投射器穿刺弹药
_6DA9B925EF8E5877	ictp2ls	Doomer 劈砍弹药			Doomer 劈砍弹药			Tryker 投射器劈砍弹药
_E3CD94CA5542639F	ictp2rb	Boomer 砸击弹药			Boomer 砸击弹药			Tryker 步枪砸击弹药
_22AE94B95611679D	ictp2rp	Boomer 穿刺弹药			Boomer 穿刺弹药			Tryker 步枪穿刺弹药
_E3DE94BE9651779C	ictp2rs	Boomer 劈砍弹药			Boomer 劈砍弹药			Tryker 步枪劈砍弹药
