*HASH_VALUE	race ID	name	ia	da	p	pia	pda
_E2148B966B5B9093	gooKitikil	胶质 Kipesta			胶质 Kipesta		
_2118E88CA318D852	gooKitimandib	胶质 Kincher			胶质 Kincher		
_A0CB8C6C6E961BAA	gooKitin	胶质 Kitin			胶质 Kitin		
_4E78A89FAA47F06A	gooKitinagan	胶质 Kipucka			胶质 Kipucka		
_508474A8B13884B0	gooKitinega	胶质 Kirosta			胶质 Kirosta		
_63A787A9674AA06E	gooKitinokto	胶质 Kiban			胶质 Kiban		
_E2091C4EAC59E45F	gooLightbird	胶质 Izam			胶质 Izam		
_623463A36F3A988C	gooMektoub	胶质 Mektoub			胶质 Mektoub		
_09F9DCBB28F84491	gooPhytopsy	胶质 Psykopla			胶质 Psykopla		
_D5C85460EC88ACB4	gooPucetron	胶质 Kipee			胶质 Kipee		
_68295C7A6BD703B0	gooRegus	胶质 Ragus			胶质 Ragus		
_E9B9FCA7DBF4D0A7	gooRyzerb	胶质 Najab			胶质 Najab		
_5F568BA4ABFA08A3	gooRyzoholo	胶质 Timari			胶质 Timari		
_24568BB3670B1090	gooRyzoholok	胶质 Vorax			胶质 Vorax		
_26A9CCAA6CF3A794	gooSapEnslaver	胶质 Slaveni			胶质 Slaveni		
_1E78FC5ADAF97CAC	gooSpittingWeeds	胶质 Cratcha			胶质 Cratcha		
_2248FCA724482C72	gooSwarmplants	胶质 Shooki			胶质 Shooki		
_A0D85055E75AD07C	gooVampignon	胶质 Yelk			胶质 Yelk		
_E16790959A59C8B0	gooVarinx	胶质 Varinx			胶质 Varinx		
_CF08BCA217B4D87D	gooYber	胶质 Yber			胶质 Yber		
_D07808B21824248D	gooZerx	胶质 Zerx			胶质 Zerx		
_13299C8E12444055	gooc1	胶质 Javing			胶质 Javing		
_EA294C6E6C99982D	gooc2	胶质 Cuttler			胶质 Cuttler		
_5F62BBBD6D874B74	gooc3	胶质 Ocyx			胶质 Ocyx		
_16D8E49A0F852856	gooc4	胶质 Jugula			胶质 Jugula		
_24287466A698C025	gooc5	胶质 Kidinak			胶质 Kidinak		
_1749689D51947448	gooh1	胶质 Raspal			胶质 Raspal		
_53E9687E92940C49	gooh2	胶质 Bawaab			胶质 Bawaab		
_17D8E8914FA55059	gooh3	胶质 Frippo			胶质 Frippo		
_1459B091D1D48C59	gooh4	胶质 Rendor			胶质 Rendor		
_5F64A8ACA4459833	gooh5	胶质 Gnoof			胶质 Gnoof		
_D6A8A48CD174284E	gooh6	胶质 Bolobi			胶质 Bolobi		
_16E8849A4E04684E	gooh7	胶质 Shalah			胶质 Shalah		
_2A69B7A22D86EF7F	gooh8	胶质 Ploderos			胶质 Ploderos		
_93B8A094D2747C50	gooh9	胶质 Wombai			胶质 Wombai		
_DFF68BA2E8546E64	gooh10	胶质 Madakam			胶质 Madakam		
_17A60B671616F740	gooh11	胶质 Arana			胶质 Arana		
_2AD6DB5BAC46271A	gooh12	胶质 Gubani			胶质 Gubani		
