*HASH_VALUE	outpost ID	name	description
_D8762257F536008A	tryker_outpost_22.outpost	双峰工坊	前哨站建于 2487 年，废弃于 2493 年\n 面向专家级公会的挑战\n 这座工坊在一位富有的 Tryker 工匠的经营下不断扩张。当人们发现他的财富源自与奴隶贩子部落的密切合作时，丑闻爆发了。这名工匠被捕，前哨站随后由一家联邦公会打理，直至被废弃。
_B11ACD519839AD43	tryker_outpost_24.outpost	狂风之路工坊	前哨站建于 2484 年，废弃于 2493 年\n 面向熟手级公会的挑战\n 这座前哨站围绕 Karavan 在 New Lands 安装的第一台大钻机而建。多亏了这台受 Jena 祝福的机器，淤泥雕刻者部落的工匠们成为最先试验来自 Atys 深处新材料的人。他们是前哨站手工业的先驱。
_D35FE6C01736C84C	tryker_outpost_29.outpost	Loria 要塞	前哨站建于 2490 年，废弃于 2493 年\n 面向大师级公会的挑战\n 大钻机安装完毕后，这座前哨站遭到泻湖兄弟的袭击，钻机采出的珍贵资源被洗劫一空。联邦派出了一个军团收复前哨站。士兵们剿灭了海盗，随后建起一座要塞，献给著名的 Tryker 女英雄 Loria。
_14719DD3A0341BBF	tryker_outpost_31.outpost	旋风要塞	前哨站建于 2489 年，废弃于 2493 年\n 面向大师级公会的挑战\n 这座前哨站毗邻通往自由湖的漩涡，其战略位置长久以来使它成为盘踞 Loria 泻湖一带的强盗与其他海盗的觊觎目标。为抵御袭击，一座堡垒在此建成。在前哨站被废弃之前，城墙下曾爆发无数次交锋。
_A8E93FA99BDB4436	zorai_outpost_02.outpost	Gu-Qin 工坊	前哨站建于 2490 年，废弃于 2494 年\n 面向专家级公会的挑战\n 这座工坊由一位名叫 Gu-Qin 的 Zoraï 工匠发展起来，他曾决意直面胶质的威胁。不幸的是，他染上了紫色瘟疫。尽管学徒们悉心照料，他仍陷入了癫狂。他在一个冬夜失踪；直到数年后前哨站被废弃，工坊的工匠们仍发誓说，他们有时会听到他癫狂的笑声随着风从丛林中飘来。
_CAD14424711A6CBD	zorai_outpost_08.outpost	Qai-Du 工坊	前哨站建于 2490 年，废弃于 2494 年\n 面向学徒级公会的挑战\n 这座工坊由珠宝大师 Qai-Du 建立，他是声名显赫的圣像崇拜者部落成员。他的学识与虔敬使 Zoraï 工艺赢得了守旧派的认可——后者长期以来都认为制造世俗器物是浪费时间。
_9AF53CB170CAA29D	zorai_outpost_10.outpost	Sai-Shun 要塞	前哨站建于 2490 年，废弃于 2494 年\n 面向熟手级公会的挑战\n Sai-Shun 要塞坐落于处女之林丛林腹地，是 2490 年开启的讨伐 Kitin 之战的最前线。Sai-Shun 将军将指挥部设在前哨站内，发誓在蜂群之患解除之前绝不撤离此地。他信守誓言，与博爱军团并肩作战了两年。
_E344209D01FD73B5	zorai_outpost_15.outpost	Zo-Kian 废墟工坊	前哨站建于 2492 年，废弃于 2494 年\n 面向大师级公会的挑战\n 这座前哨站建立在 Zo-Kian 废墟的东北方。Zo-Kian 原本是由 Zoraï 猎人建立的小村庄。这些猎人追猎 gibbaïs——当时那片丛林中 gibbaïs 成群——并对族人的迷信嗤之以鼻：杀死这些与 homin 极其相似的动物会带来厄运。一天夜里，村庄遭到未知生物的集群袭击，被彻底摧毁。数年后，探险者发现了本地区存在高级 gibbaïs。许多人认为，正是它们导致了 Zo-Kian 的覆灭——它们想必是在对猎人的攻击作出反击。
_A9B1E17037E0BF79	zorai_outpost_16.outpost	失落之谷要塞	前哨站建于 2491 年，废弃于 2494 年\n 面向大师级公会的挑战\n 在遭受被胶质污染的动物反复袭击后，这座前哨站进行了设防。西北方的失落之谷中发现了传染温床。数次远征被派往当地试图将其摧毁，但收效甚微。当前哨站里的钻木机因染上紫色瘟疫而开始枯萎时，这座要塞的死期也随之到来，很快便遭废弃。
_E897424AD4725452	zorai_outpost_22.outpost	恶魔十字外交前哨站	前哨站建于 2492 年，废弃于 2494 年\n 面向进阶级公会的挑战\n 在这座前哨站安装钻木机后不久，一只丛林恶魔被 Kami 的活动吸引，在周围一带徘徊不去。它被胶质折磨得形销骨立，怒火中烧。一位永恒之树社团的 Zoraï 贤者发现了它，并成功治愈了它的疾病。恶魔化作光辉之灵，为这位 Zoraï 赐福，使其成为圣者中的圣人。这一奇迹之后，前哨站便作为整个地区 Kami 信徒的聚会之所。
_0F508D96CC6A8DA7	zorai_outpost_29.outpost	大荒原工坊	前哨站建于 2491 年，废弃于 2494 年\n 面向专家级公会的挑战\n 这座前哨站的活动由 Fyros 枪械匠 Cardarus Vekian 在痴乱之结的沙漠地区发展起来。这里没有过多的植被，使这位工匠得以运用本族基于用火传统的制造技艺，而无引发大火之虞。Zora 的商人们起初心存戒备，最终也对这位 Fyros 匠人的作品产生了兴趣。Vekian 成为名扬枯萎之地的工匠，许多 Zoraï 武士都以佩戴他锻造的武器为荣。
_6FE48772D9E253F3	matis_outpost_03.outpost	畏惧泥沼农场	前哨站建于 2492 年，废弃于 2493 年\n 面向专家级公会的挑战\n 这座前哨站建立在畏惧泥沼附近，活动以采集资源、清理被胶质入侵的沼泽为中心。当生态战士部落发现受污染的材料并未被销毁，而是被送往 Yrkanis 或东南方进行各种实验时，双方爆发了冲突。他们据此指控 Matis 在散播胶质。王室科学家断然否认这些指控，并保证已采取一切预防措施避免污染。
_640FA7D9C6414BD7	matis_outpost_07.outpost	寻宝人农场	前哨站建于 2491 年，废弃于 2493 年\n 面向熟手级公会的挑战\n 一位追寻神启的 Matis 学者决定定居在这座前哨站，借助大钻机得以接触被女神圣化的稀有材料。他进行了大量实验，尤其发现了一种新型钻粉，能使数处泉源同时涌向地表。这座前哨站因而成为想要尝试这种神奇粉末的探矿者的聚会之所。 
_D6CD5001FB9E622C	matis_outpost_15.outpost	Psykopla 之丘贸易站	前哨站建于 2491 年，废弃于 2493 年\n 面向学徒级公会的挑战\n 一家小型商会在前哨站发展贸易。起初，许多探矿者就在 Karavan 安设的这台大钻机旁以物易物。一位 Tryker 商贩灵机一动，搭起了一处便于交易的设施，只收取微薄佣金。他与 Matis 商人们共同创立的公会生意兴隆，直至前哨站关闭。
_DCD910ED7E62A2C2	matis_outpost_17.outpost	Wooky 工坊	前哨站建于 2490 年，废弃于 2493 年\n 面向进阶级公会的挑战\n 这座工坊建在通往原始根须深处的漩涡附近，是翠绿高丘上建立的第一座。它的名字象征着 Matis 族人一段繁忙岁月的开端：设立前哨站、抗击 kitin、开辟新的贸易路线。
_34B4FC4C6451CC84	matis_outpost_24.outpost	西林要塞	前哨站建于 2492 年，废弃于 2493 年\n 面向大师级公会的挑战\n 这座前哨站建在困惑之林的密林深处，为讨伐树妖部落而设防——那是一群自视为植物守护者的狂热 homin。许多 Matis 植物学家被指控虐待 Atys 的植物，惨死在他们手中。
_0C19BCC74DB35B36	matis_outpost_27.outpost	Ginti 工坊	前哨站建于 2491 年，废弃于 2493 年\n 面向大师级公会的挑战\n Sevalda Ginti 是 25 世纪最负盛名的 Matis 植物学家之一，师从 Bravichi Lenardi。当 Karavan 将大钻机安放到困惑之林时，她离开了 Yrkanis 的温室，深入丛林工作。她开展了大量研究，并凭借对树脂的发现完善了护甲制造工艺。她最终在神秘的情况下失踪。
_F1B1343B89EF309D	matis_outpost_30.outpost	Berello 峡谷边境哨站	前哨站建于 2491 年，废弃于 2493 年\n 面向专家级公会的挑战\n 这座边境哨站由 Matis 队长 Arcando Berello 指挥设防，曾与编织缰绳部落爆发多次交锋。此地利害攸关——谁控制了这座前哨站，谁就扼住了本地区北方绿洲与南方干旱高原之间的通道。Berello 展现出顽强的意志与战术素养，连 Fyros 蛮人也开始敬重他们的对手。
_431F0D331FF1DD57	marauder_light_melee_fighter_b.outpost_squad	劫掠者武士小队	
_431F0D331FF1E157	marauder_light_melee_fighter_c.outpost_squad	劫掠者武士小队	
_431F0D331FF1E557	marauder_light_melee_fighter_d.outpost_squad	劫掠者武士小队	
_431F0D331FF1E957	marauder_light_melee_fighter_e.outpost_squad	劫掠者武士小队	
_431F0D331FF1ED57	marauder_light_melee_fighter_f.outpost_squad	劫掠者武士小队	
_243AE24310D10D5D	marauder_light_range_fighter_b.outpost_squad	劫掠者远程战士小队	
_243AE24310D1115D	marauder_light_range_fighter_c.outpost_squad	劫掠者远程战士小队	
_243AE24310D1155D	marauder_light_range_fighter_d.outpost_squad	劫掠者远程战士小队	
_243AE24310D1195D	marauder_light_range_fighter_e.outpost_squad	劫掠者远程战士小队	
_243AE24310D11D5D	marauder_light_range_fighter_f.outpost_squad	劫掠者远程战士小队	
_302F323E1AB2D6B3	marauder_light_mixed_fighter_b.outpost_squad	劫掠者战士小队	
_302F323E1AB2DAB3	marauder_light_mixed_fighter_c.outpost_squad	劫掠者战士小队	
_302F323E1AB2DEB3	marauder_light_mixed_fighter_d.outpost_squad	劫掠者战士小队	
_302F323E1AB2E2B3	marauder_light_mixed_fighter_e.outpost_squad	劫掠者战士小队	
_302F323E1AB2E6B3	marauder_light_mixed_fighter_f.outpost_squad	劫掠者战士小队	
_CA7E8470D81A655E	free_squad_light_melee_fighter_b.outpost_squad	民兵小队	八人学徒级佣兵小队，由配备速射武器与轻甲的武士和两名治疗师组成。
_EA0D947415F96160	free_squad_light_melee_fighter_c.outpost_squad	民兵小队	八人熟手级佣兵小队，由配备速射武器与轻甲的武士和两名治疗师组成。
_0EDB1B3AD99DEBE8	free_squad_light_melee_fighter_d.outpost_squad	民兵小队	八人进阶级佣兵小队，由配备速射武器与轻甲的武士和两名治疗师组成。
_0EDB4543550E13E4	free_squad_light_melee_fighter_e.outpost_squad	民兵小队	八人专家级佣兵小队，由配备速射武器与轻甲的武士和两名治疗师组成。
_0EDB094359F5B7EC	free_squad_light_melee_fighter_f.outpost_squad	民兵小队	八人大师级佣兵小队，由配备速射武器与轻甲的武士和两名治疗师组成。
_AEFD62A80D8439DC	outpost_squad_light_melee_fighter_b.outpost_squad	散兵小队	八人学徒级佣兵小队，由配备速射武器与轻甲的武士和两名治疗师组成
_2E1546AC0EC331DB	outpost_squad_light_melee_fighter_c.outpost_squad	散兵小队	八人熟手级佣兵小队，由配备速射武器与轻甲的武士和两名治疗师组成
_916FBA4FBDE5DA3D	outpost_squad_light_melee_fighter_d.outpost_squad	散兵小队	八人进阶级佣兵小队，由配备速射武器与轻甲的武士和两名治疗师组成
_907FBADAFFF4F647	outpost_squad_light_melee_fighter_e.outpost_squad	散兵小队	八人专家级佣兵小队，由配备速射武器与轻甲的武士和两名治疗师组成
_928FBACBFFE5F030	outpost_squad_light_melee_fighter_f.outpost_squad	散兵小队	八人大师级佣兵小队，由配备速射武器与轻甲的武士和两名治疗师组成
_DA9562D33825667D	outpost_squad_medium_melee_fighter_b.outpost_squad	斗士小队	八人学徒级佣兵小队，由身着中甲、配备轻武器的武士（部分持盾）与一名治疗师组成
_99846A5376667671	outpost_squad_medium_melee_fighter_c.outpost_squad	斗士小队	八人熟手级佣兵小队，由身着中甲、配备轻武器的武士（部分持盾）与一名治疗师组成
_C8A275AF3AE0C006	outpost_squad_medium_melee_fighter_d.outpost_squad	斗士小队	八人进阶级佣兵小队，由身着中甲、配备轻武器的武士（部分持盾）与一名治疗师组成
_CA4365AF3A89E4F7	outpost_squad_medium_melee_fighter_e.outpost_squad	斗士小队	八人专家级佣兵小队，由身着中甲、配备轻武器的武士（部分持盾）与一名治疗师组成
_A9D285AF3A98E406	outpost_squad_medium_melee_fighter_f.outpost_squad	斗士小队	八人大师级佣兵小队，由身着中甲、配备轻武器的武士（部分持盾）与一名治疗师组成
_31917ACDA8B6D507	outpost_squad_heavy_melee_fighter_b.outpost_squad	重装武士小队	八人学徒级佣兵小队，由身着重甲、配备双手武器的武士与一名治疗师组成
_74E072CC28BEB902	outpost_squad_heavy_melee_fighter_c.outpost_squad	重装武士小队	八人熟手级佣兵小队，由身着重甲、配备双手武器的武士与一名治疗师组成
_5F9729077C762AA3	outpost_squad_heavy_melee_fighter_d.outpost_squad	重装武士小队	八人进阶级佣兵小队，由身着重甲、配备双手武器的武士与一名治疗师组成
_A1B645117B762A2E	outpost_squad_heavy_melee_fighter_e.outpost_squad	重装武士小队	八人专家级佣兵小队，由身着重甲、配备双手武器的武士与一名治疗师组成
_A1B73FFA7D762A1F	outpost_squad_heavy_melee_fighter_f.outpost_squad	重装武士小队	八人大师级佣兵小队，由身着重甲、配备双手武器的武士与一名治疗师组成
_2B09BFC50EF80C5E	outpost_squad_tank_b.outpost_squad	护卫小队	八人学徒级佣兵小队，由身着重甲、配备轻武器与盾牌的武士与一名治疗师组成
_2A29C1BE0F38DC5C	outpost_squad_tank_c.outpost_squad	护卫小队	八人熟手级佣兵小队，由身着重甲、配备轻武器与盾牌的武士与一名治疗师组成
_F8B55F7529227DE0	outpost_squad_tank_d.outpost_squad	护卫小队	八人进阶级佣兵小队，由身着重甲、配备轻武器与盾牌的武士与一名治疗师组成
_BB755F75CCB341E7	outpost_squad_tank_e.outpost_squad	护卫小队	八人专家级佣兵小队，由身着重甲、配备轻武器与盾牌的武士与一名治疗师组成
_35F55F7508B37D65	outpost_squad_tank_f.outpost_squad	护卫小队	八人大师级佣兵小队，由身着重甲、配备轻武器与盾牌的武士与一名治疗师组成
_5601C36FA8D20761	outpost_squad_light_range_fighter_b.outpost_squad	手枪射手小队	八人学徒级佣兵小队，由身着中甲、配备手枪的射手与一名治疗师组成
_76A0D373A5B10363	outpost_squad_light_range_fighter_c.outpost_squad	手枪射手小队	八人熟手级佣兵小队，由身着中甲、配备手枪的射手与一名治疗师组成
_A5F22FBC0B41E9D0	outpost_squad_light_range_fighter_d.outpost_squad	手枪射手小队	八人进阶级佣兵小队，由身着中甲、配备手枪的射手与一名治疗师组成
_A50259C547B211CC	outpost_squad_light_range_fighter_e.outpost_squad	手枪射手小队	八人专家级佣兵小队，由身着中甲、配备手枪的射手与一名治疗师组成
_A5121DC50B99B5D4	outpost_squad_light_range_fighter_f.outpost_squad	手枪射手小队	八人大师级佣兵小队，由身着中甲、配备手枪的射手与一名治疗师组成
_C403E2D6AEC519C7	outpost_squad_medium_range_fighter_b.outpost_squad	步枪手小队	八人学徒级佣兵小队，由身着中甲、配备步枪的射手与一名治疗师组成
_C323E4CFAF05E9C5	outpost_squad_medium_range_fighter_c.outpost_squad	步枪手小队	八人熟手级佣兵小队，由身着中甲、配备步枪的射手与一名治疗师组成
_89DC33F311346898	outpost_squad_medium_range_fighter_d.outpost_squad	步枪手小队	八人进阶级佣兵小队，由身着中甲、配备步枪的射手与一名治疗师组成
_4C9C33F3B4C52C9F	outpost_squad_medium_range_fighter_e.outpost_squad	步枪手小队	八人专家级佣兵小队，由身着中甲、配备步枪的射手与一名治疗师组成
_C61C33F3F0C5681D	outpost_squad_medium_range_fighter_f.outpost_squad	步枪手小队	八人大师级佣兵小队，由身着中甲、配备步枪的射手与一名治疗师组成
_1043FDD2C7CB4EF4	outpost_squad_heavy_range_fighter_b.outpost_squad	炮手小队	八人学徒级佣兵小队，由配备机枪与榴弹发射器的射手与一名治疗师组成
_1192F5D147D332F8	outpost_squad_heavy_range_fighter_c.outpost_squad	炮手小队	八人熟手级佣兵小队，由配备机枪与榴弹发射器的射手与一名治疗师组成
_99F2301FEE875442	outpost_squad_heavy_range_fighter_d.outpost_squad	炮手小队	八人进阶级佣兵小队，由配备机枪与榴弹发射器的射手与一名治疗师组成
_DB114C29ED8754CD	outpost_squad_heavy_range_fighter_e.outpost_squad	炮手小队	八人专家级佣兵小队，由配备机枪与榴弹发射器的射手与一名治疗师组成
_DB124612EF8754BE	outpost_squad_heavy_range_fighter_f.outpost_squad	炮手小队	八人大师级佣兵小队，由配备机枪与榴弹发射器的射手与一名治疗师组成
_70CFDE9FE7F12A5B	outpost_squad_light_mixed_fighter_b.outpost_squad	掠袭小队	八人学徒级佣兵小队，由配备速射武器与手枪的武士和射手及一名治疗师组成
_6DBEDAA107803A5F	outpost_squad_light_mixed_fighter_c.outpost_squad	掠袭小队	八人熟手级佣兵小队，由配备速射武器与手枪的武士和射手及一名治疗师组成
_BBDA84BDC96B2A68	outpost_squad_light_mixed_fighter_d.outpost_squad	掠袭小队	八人进阶级佣兵小队，由配备速射武器与手枪的武士和射手及一名治疗师组成
_F75BACB9C96B5471	outpost_squad_light_mixed_fighter_e.outpost_squad	掠袭小队	八人专家级佣兵小队，由配备速射武器与手枪的武士和射手及一名治疗师组成
_BB5250C1C96B1871	outpost_squad_light_mixed_fighter_f.outpost_squad	掠袭小队	八人大师级佣兵小队，由配备速射武器与手枪的武士和射手及一名治疗师组成
_314148BBFC1D44FA	outpost_squad_medium_mixed_fighter_b.outpost_squad	战士小队	八人学徒级佣兵小队，由配备轻武器与步枪的武士和射手（部分持盾）及一名治疗师组成
_30614AB4FD5D14F8	outpost_squad_medium_mixed_fighter_c.outpost_squad	战士小队	八人熟手级佣兵小队，由配备轻武器与步枪的武士和射手（部分持盾）及一名治疗师组成
_AE1C15053C1DCD73	outpost_squad_medium_mixed_fighter_d.outpost_squad	战士小队	八人进阶级佣兵小队，由配备轻武器与步枪的武士和射手（部分持盾）及一名治疗师组成
_71DC1505DFAE917A	outpost_squad_medium_mixed_fighter_e.outpost_squad	战士小队	八人专家级佣兵小队，由配备轻武器与步枪的武士和射手（部分持盾）及一名治疗师组成
_EB5C15051BAECDF8	outpost_squad_medium_mixed_fighter_f.outpost_squad	战士小队	八人大师级佣兵小队，由配备轻武器与步枪的武士和射手（部分持盾）及一名治疗师组成
_83F65F3F71561BD2	outpost_squad_nukers_b.outpost_squad	元素师小队	八人学徒级佣兵小队，由精通毁灭法术的法师与一名治疗师组成
_84362F3D307621CB	outpost_squad_nukers_c.outpost_squad	元素师小队	八人熟手级佣兵小队，由精通毁灭法术的法师与一名治疗师组成
_58207E496F02F1FB	outpost_squad_nukers_d.outpost_squad	元素师小队	八人进阶级佣兵小队，由精通毁灭法术的法师与一名治疗师组成
_FBB14250F2C2F5FB	outpost_squad_nukers_e.outpost_squad	元素师小队	八人专家级佣兵小队，由精通毁灭法术的法师与一名治疗师组成
_37B17ECE2C42F9FB	outpost_squad_nukers_f.outpost_squad	元素师小队	八人大师级佣兵小队，由精通毁灭法术的法师与一名治疗师组成
_A60073A524657344	outpost_squad_offensive_linkers_b.outpost_squad	扰乱者小队	八人学徒级佣兵小队，由精通进攻系联结法术（削弱与元素）的法师与一名治疗师组成
_E441839AA3547BC4	outpost_squad_offensive_linkers_c.outpost_squad	扰乱者小队	八人熟手级佣兵小队，由精通进攻系联结法术（削弱与元素）的法师与一名治疗师组成
_C95D4E469B8A51DF	outpost_squad_offensive_linkers_d.outpost_squad	扰乱者小队	八人进阶级佣兵小队，由精通进攻系联结法术（削弱与元素）的法师与一名治疗师组成
_C90672385D2B41DF	outpost_squad_offensive_linkers_e.outpost_squad	扰乱者小队	八人专家级佣兵小队，由精通进攻系联结法术（削弱与元素）的法师与一名治疗师组成
_C9157248FCBA61DF	outpost_squad_offensive_linkers_f.outpost_squad	扰乱者小队	八人大师级佣兵小队，由精通进攻系联结法术（削弱与元素）的法师与一名治疗师组成
_0CA62202F8B8D9E1	outpost_squad_mixed_casters_b.outpost_squad	法师小队	八人学徒级佣兵小队，由修习不同魔法流派（毁灭与回复）的法师组成
_8B952A8236F9E9D6	outpost_squad_mixed_casters_c.outpost_squad	法师小队	八人熟手级佣兵小队，由修习不同魔法流派（毁灭与回复）的法师组成
_660DE14ACBEFDAD3	outpost_squad_mixed_casters_d.outpost_squad	法师小队	八人进阶级佣兵小队，由修习不同魔法流派（毁灭与回复）的法师组成
_28AED14ACB98FEC5	outpost_squad_mixed_casters_e.outpost_squad	法师小队	八人专家级佣兵小队，由修习不同魔法流派（毁灭与回复）的法师组成
_C73DF14ACBA7FED5	outpost_squad_mixed_casters_f.outpost_squad	法师小队	八人大师级佣兵小队，由修习不同魔法流派（毁灭与回复）的法师组成
_27C70004295AFD33	driller_bountybeaches_kami_u1_100a.outpost_building	钻木机供品	制造原材料 + 消耗品 
_27C700046A5AFD33	driller_bountybeaches_kami_u1_150a.outpost_building	钻木机供品	制造原材料 + 消耗品 
_27C70004296AFD33	driller_bountybeaches_kami_u1_200a.outpost_building	钻木机供品	制造原材料 + 消耗品 
_5223406B8AC3F2A5	driller_bountybeaches_kami_u2_100a.outpost_building	水晶钻木机供品	制造原材料 + 双倍消耗品 
_B43AE8DBD548D9F4	driller_bountybeaches_kami_u2_150a.outpost_building	水晶钻木机供品	制造原材料 + 双倍消耗品
_5223406B8AD3F2A5	driller_bountybeaches_kami_u2_200a.outpost_building	水晶钻木机供品	制造原材料 + 双倍消耗品 
_B285735D1C570E40	driller_bountybeaches_kami_u3_100a.outpost_building	加固钻木机供品	制造原材料 + 消耗品（速度 x1.5） 
_B285735D5D570E40	driller_bountybeaches_kami_u3_150a.outpost_building	加固钻木机供品	制造原材料 + 消耗品（速度 x1.5） 
_B285735D1C670E40	driller_bountybeaches_kami_u3_200a.outpost_building	加固钻木机供品	制造原材料 + 消耗品（速度 x1.5） 
_D8CA151470F9417D	driller_bountybeaches_kami_u4_100a.outpost_building	高级钻木机供品	制造原材料 + 消耗品（速度 x2） 
_D8CA1514B1F9417D	driller_bountybeaches_kami_u4_150a.outpost_building	高级钻木机供品	制造原材料 + 消耗品（速度 x2） 
_D8CA15147009417D	driller_bountybeaches_kami_u4_200a.outpost_building	高级钻木机供品	制造原材料 + 消耗品（速度 x2） 
_40213497BD469797	driller_bountybeaches_karavan_u1_100a.outpost_building	大钻机供品	制造原材料 + 消耗品 
_40713497BD469797	driller_bountybeaches_karavan_u1_150a.outpost_building	大钻机供品	制造原材料 + 消耗品 
_40213897BD469797	driller_bountybeaches_karavan_u1_200a.outpost_building	大钻机供品	制造原材料 + 消耗品 
_57B84C949990AB65	driller_bountybeaches_karavan_u2_100a.outpost_building	水晶大钻机供品	制造原材料 + 双倍消耗品 
_344B6E0E2EE83210	driller_bountybeaches_karavan_u2_150a.outpost_building	水晶大钻机供品	制造原材料 + 双倍消耗品
_57B850949990AB65	driller_bountybeaches_karavan_u2_200a.outpost_building	水晶大钻机供品	制造原材料 + 双倍消耗品 
_155C215B40A809FB	driller_bountybeaches_karavan_u3_100a.outpost_building	高速大钻机供品	制造原材料 + 消耗品（速度 x1.5） 
_15AC215B40A809FB	driller_bountybeaches_karavan_u3_150a.outpost_building	高速大钻机供品	制造原材料 + 消耗品（速度 x1.5） 
_155C255B40A809FB	driller_bountybeaches_karavan_u3_200a.outpost_building	高速大钻机供品	制造原材料 + 消耗品（速度 x1.5） 
_83F0DA2890B1565B	driller_bountybeaches_karavan_u4_100a.outpost_building	高级大钻机供品	制造原材料 + 消耗品（速度 x2） 
_8340DA2890B1565B	driller_bountybeaches_karavan_u4_150a.outpost_building	高级大钻机供品	制造原材料 + 消耗品（速度 x2） 
_83F0DE2890B1565B	driller_bountybeaches_karavan_u4_200a.outpost_building	高级大钻机供品	制造原材料 + 消耗品（速度 x2） 
_03912D6F5054EBF7	driller_citiesofintuition_kami_u1_50a.outpost_building	钻木机供品	制造原材料 + 消耗品 
_1A28456DEC9EFFC5	driller_citiesofintuition_kami_u2_50a.outpost_building	水晶钻木机供品	制造原材料 + 双倍消耗品 
_594C2A3553B65953	driller_citiesofintuition_kami_u3_50a.outpost_building	加固钻木机供品	制造原材料 + 消耗品（速度 x1.5） 
_4660D30362BFAABB	driller_citiesofintuition_kami_u4_50a.outpost_building	高级钻木机供品	制造原材料 + 消耗品（速度 x2） 
_1BA9D853164E187F	driller_citiesofintuition_karavan_u1_50a.outpost_building	大钻机供品	制造原材料 + 消耗品 
_DACEA81747D13C04	driller_citiesofintuition_karavan_u2_50a.outpost_building	水晶大钻机供品	制造原材料 + 双倍消耗品 
_CB67AF2F6E83263A	driller_citiesofintuition_karavan_u3_50a.outpost_building	高速大钻机供品	制造原材料 + 消耗品（速度 x1.5） 
_402BF182855E8B68	driller_citiesofintuition_karavan_u4_50a.outpost_building	高级大钻机供品	制造原材料 + 消耗品（速度 x2） 
_83B6EBF2A31BB739	driller_couloirbrule_kami_u1_150a.outpost_building	钻木机供品	制造原材料 + 消耗品 
_83B6EBF3A31BB739	driller_couloirbrule_kami_u1_150b.outpost_building	钻木机供品	制造原材料 + 消耗品 
_83B6EBF2A3CBBB39	driller_couloirbrule_kami_u1_200a.outpost_building	钻木机供品	制造原材料 + 消耗品 
