*HASH_VALUE	sbrick ID	name	* noms français	ia	da	p	pia	pda	description	description2	*commentaires
_E4BA3FF55F221604	BFMC03	精准攻击 3							降低敌人闪避的几率 - 对 50 级以内的武器效率最大。	精准攻击 3 - 最大技能加成：+$1ATT_SKILL_MOD	
_24BA3FF65F321A09	BFMC04	精准攻击 4							降低敌人闪避的几率 - 对 65 级以内的武器效率最大。	精准攻击 4 - 最大技能加成：+$1ATT_SKILL_MOD	
_E5BA3FF75F421E04	BFMC05	精准攻击 5							降低敌人闪避的几率 - 对 90 级以内的武器效率最大。	精准攻击 5 - 最大技能加成：+$1ATT_SKILL_MOD	
_C677ECF0589C8F7C	BFMC06	精准攻击 6							降低敌人闪避的几率 - 对 115 级以内的武器效率最大。	精准攻击 6 - 最大技能加成：+$1ATT_SKILL_MOD	
_C677F0F058AC7F7F	BFMC07	精准攻击 7							降低敌人闪避的几率 - 对 140 级以内的武器效率最大。	精准攻击 7 - 最大技能加成：+$1ATT_SKILL_MOD	
_C677F4F058BC8382	BFMC08	精准攻击 8							降低敌人闪避的几率 - 对 170 级以内的武器效率最大。	精准攻击 8 - 最大技能加成：+$1ATT_SKILL_MOD	
_0677F8F058CC877B	BFMC09	精准攻击 9							降低敌人闪避的几率 - 对 200 级以内的武器效率最大。	精准攻击 9 - 最大技能加成：+$1ATT_SKILL_MOD	
_F17C7AE52A9D5E15	BFMC10	精准攻击 10							降低敌人闪避的几率 - 对 235 级以内的武器效率最大。	精准攻击 10 - 最大技能加成：+$1ATT_SKILL_MOD	
_317C7AE56A9D7215	BFMC11	精准攻击 11							降低敌人闪避的几率 - 对 275 级以内的武器效率最大。	精准攻击 11 - 最大技能加成：+$1ATT_SKILL_MOD	
_BB2D99222769E2C3	BFMD01	流血 1							造成持续 10 秒的流血持续伤害效果（基于初始打击造成的伤害）- 对 25 级以内的武器效率最大。	流血 1 - 最大系数：$2BLEED_FACTOR	
_BB2D9922A769EAC3	BFMD02	流血 2							造成持续 10 秒的流血持续伤害效果（基于初始打击造成的伤害）- 对 35 级以内的武器效率最大。	流血 2 - 最大系数：$2BLEED_FACTOR	
_BB2D991D6869F2C3	BFMD03	流血 3							造成持续 10 秒的流血持续伤害效果（基于初始打击造成的伤害）- 对 50 级以内的武器效率最大。	流血 3 - 最大系数：$2BLEED_FACTOR	
_BB2D9922E969FAC3	BFMD04	流血 4							造成持续 10 秒的流血持续伤害效果（基于初始打击造成的伤害）- 对 65 级以内的武器效率最大。	流血 4 - 最大系数：$2BLEED_FACTOR	
_BB2D991DEA6902C3	BFMD05	流血 5							造成持续 10 秒的流血持续伤害效果（基于初始打击造成的伤害）- 对 90 级以内的武器效率最大。	流血 5 - 最大系数：$2BLEED_FACTOR	
_D9A604BEB1BB0CC5	BFMD06	流血 6							造成持续 10 秒的流血持续伤害效果（基于初始打击造成的伤害）- 对 115 级以内的武器效率最大。	流血 6 - 最大系数：$2BLEED_FACTOR	
_D9A6F0C1F1CB10C5	BFMD07	流血 7							造成持续 10 秒的流血持续伤害效果（基于初始打击造成的伤害）- 对 140 级以内的武器效率最大。	流血 7 - 最大系数：$2BLEED_FACTOR	
_D9A604C332DB14C5	BFMD08	流血 8							造成持续 10 秒的流血持续伤害效果（基于初始打击造成的伤害）- 对 165 级以内的武器效率最大。	流血 8 - 最大系数：$2BLEED_FACTOR	
_D9A6F0BDB2EB18C5	BFMD09	流血 9							造成持续 10 秒的流血持续伤害效果（基于初始打击造成的伤害）- 对 200 级以内的武器效率最大。	流血 9 - 最大系数：$2BLEED_FACTOR	
_F94EC548C8D1F16F	BFMD10	流血 10							造成持续 10 秒的流血持续伤害效果（基于初始打击造成的伤害）- 对 235 级以内的武器效率最大。	流血 10 - 最大系数：$2BLEED_FACTOR	
_F94ED54AC8D1F56F	BFMD11	流血 11							造成持续 10 秒的流血持续伤害效果（基于初始打击造成的伤害）- 对 275 级以内的武器效率最大。	流血 11 - 最大系数：$2BLEED_FACTOR	
_FB23D9FEEEB2F0F1	BFCA01	耐力点数 1							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 6 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_8E9224BA1191CCDA	BFCA02	耐力点数 2							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 10 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_8E9224BA1101D0DB	BFCA03	耐力点数 3							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 16 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_8E9224BA11B1D8DC	BFCA04	耐力点数 4							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 20 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_8E9224BA1121DCDD	BFCA05	耐力点数 5							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 26 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_8E9224BA11D1E4DE	BFCA06	耐力点数 6							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 30 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_8E9224BA11E1ECDF	BFCA07	耐力点数 7							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 40 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_8E9224BA11F1F4E0	BFCA08	耐力点数 8							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 50 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_8E9224BA1161FCE1	BFCA09	耐力点数 9							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 66 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_736A4DC80A3C7E15	BFCA10	耐力点数 10							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 80 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_613200C383325EE8	BFCA11	耐力点数 11							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 100 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_613200C5C34262E8	BFCA12	耐力点数 12							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 120 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_613200C7035266E8	BFCA13	耐力点数 13							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 140 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_613200C944626AE8	BFCA14	耐力点数 14							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 160 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_613200CB84726EE8	BFCA15	耐力点数 15							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 180 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_613200C3048272E8	BFCA16	耐力点数 16							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 200 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_613218C5449276E8	BFCA17	耐力点数 17							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 226 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_613200C885A27AE8	BFCA18	耐力点数 18							消耗 '$0STA_WEIGHT_FACTOR * 武器重量' 的耐力 - 获得 250 点数。	消耗系数：$0STA_WEIGHT_FACTOR	
_19E43C71CB935350	BFCB01	HP 点数 1							消耗 $|HP 点生命值 - 获得 10 点数。	消耗 $|HP 点生命值	
_19E43C71CBB35750	BFCB02	HP 点数 2							消耗 $|HP 点生命值 - 获得 20 点数。	消耗 $|HP 点生命值	
_19E43C710CD35B50	BFCB03	HP 点数 3							消耗 $|HP 点生命值 - 获得 35 点数。	消耗 $|HP 点生命值	
_19E43C71CB035F50	BFCB04	HP 点数 4							消耗 $|HP 点生命值 - 获得 50 点数。	消耗 $|HP 点生命值	
_19E43C710C336350	BFCB05	HP 点数 5							消耗 $|HP 点生命值 - 获得 75 点数。	消耗 $|HP 点生命值	
_A9ACCA5B0C310C44	BFCB06	HP 点数 6							消耗 $|HP 点生命值 - 获得 100 点数。	消耗 $|HP 点生命值	
_A9ACCA608C411044	BFCB07	HP 点数 7							消耗 $|HP 点生命值 - 获得 125 点数。	消耗 $|HP 点生命值	
_A9ACCA5B4D511444	BFCB08	HP 点数 8							消耗 $|HP 点生命值 - 获得 150 点数。	消耗 $|HP 点生命值	
_A9ACCA60CD611844	BFCB09	HP 点数 9							消耗 $|HP 点生命值 - 获得 175 点数。	消耗 $|HP 点生命值	
_77C891279775C79F	BFCB10	HP 点数 10							消耗 $|HP 点生命值 - 获得 200 点数。	消耗 $|HP 点生命值	
_FBD166D630AAB50C	BFCC01	闪避后连击 1							该动作仅在成功闪避后可用 - 获得 10 点数。	闪避后连击 1	
_FBE166D770AAB90C	BFCC02	闪避后连击 2							该动作仅在成功闪避后可用 - 获得 20 点数。	闪避后连击 2	
_FBF17AD8B0AABD0C	BFCC03	闪避后连击 3							该动作仅在成功闪避后可用 - 获得 35 点数。	闪避后连击 3	
_FB0166DAF1AAC10C	BFCC04	闪避后连击 4							该动作仅在成功闪避后可用 - 获得 50 点数。	闪避后连击 4	
_FB117ADC31AAC50C	BFCC05	闪避后连击 5							该动作仅在成功闪避后可用 - 获得 75 点数。	闪避后连击 5	
_553B754EA96FF9D4	BFCC06	闪避后连击 6							该动作仅在成功闪避后可用 - 获得 100 点数。	闪避后连击 6	
_559B7D4FA96FFDD4	BFCC07	闪避后连击 7							该动作仅在成功闪避后可用 - 获得 125 点数。	闪避后连击 7	
_555B8950A96F01D4	BFCC08	闪避后连击 8							该动作仅在成功闪避后可用 - 获得 150 点数。	闪避后连击 8	
_556B9551A96F05D4	BFCC09	闪避后连击 9							该动作仅在成功闪避后可用 - 获得 180 点数。	闪避后连击 9	
_666B19F81300ED7B	BFCC10	闪避后连击 10							该动作仅在成功闪避后可用 - 获得 215 点数。	闪避后连击 10	
_65BB19F81300F17B	BFCC11	闪避后连击 11							该动作仅在成功闪避后可用 - 获得 250 点数。	闪避后连击 11	
_3CB296EAF3CCF931	BFCD01	格挡后连击 1							该动作仅在成功格挡后可用 - 获得 10 点数。	格挡后连击 1	
_3CC296EB33CCFD31	BFCD02	格挡后连击 2							该动作仅在成功格挡后可用 - 获得 20 点数。	格挡后连击 2	
_3CD2AAEC73CC0131	BFCD03	格挡后连击 3							该动作仅在成功格挡后可用 - 获得 35 点数。	格挡后连击 3	
_3CE296EEB4CC0531	BFCD04	格挡后连击 4							该动作仅在成功格挡后可用 - 获得 50 点数。	格挡后连击 4	
_3CF2AAF0F4CC0931	BFCD05	格挡后连击 5							该动作仅在成功格挡后可用 - 获得 75 点数。	格挡后连击 5	
_90BD75626CD219FC	BFCD06	格挡后连击 6							该动作仅在成功格挡后可用 - 获得 100 点数。	格挡后连击 6	
_901D7D636CD21DFC	BFCD07	格挡后连击 7							该动作仅在成功格挡后可用 - 获得 125 点数。	格挡后连击 7	
_90DD89646CD221FC	BFCD08	格挡后连击 8							该动作仅在成功格挡后可用 - 获得 150 点数。	格挡后连击 8	
_90ED95656CD225FC	BFCD09	格挡后连击 9							该动作仅在成功格挡后可用 - 获得 180 点数。	格挡后连击 9	
_AD6B190CE043256B	BFCD10	格挡后连击 10							该动作仅在成功格挡后可用 - 获得 215 点数。	格挡后连击 10	
_ACBB190CE043296B	BFCD11	格挡后连击 11							该动作仅在成功格挡后可用 - 获得 250 点数。	格挡后连击 11	
_2620283E907F0041	BFCE01	暴击后连击 1							该动作仅在打出暴击后可用 - 获得 10 点数。	暴击后连击 1	
_6620303E907F0441	BFCE02	暴击后连击 2							该动作仅在打出暴击后可用 - 获得 20 点数。	暴击后连击 2	
_A620383E907F0846	BFCE03	暴击后连击 3							该动作仅在打出暴击后可用 - 获得 35 点数。	暴击后连击 3	
_2720403E907F0C41	BFCE04	暴击后连击 4							该动作仅在打出暴击后可用 - 获得 50 点数。	暴击后连击 4	
_A720483E907F1046	BFCE05	暴击后连击 5							该动作仅在打出暴击后可用 - 获得 75 点数。	暴击后连击 5	
_F3D22CA7BCA62952	BFCE06	暴击后连击 6							该动作仅在打出暴击后可用 - 获得 100 点数。	暴击后连击 6	
_F3E230A7BCA64154	BFCE07	暴击后连击 7							该动作仅在打出暴击后可用 - 获得 125 点数。	暴击后连击 7	
_F3F234A7BCA63157	BFCE08	暴击后连击 8							该动作仅在打出暴击后可用 - 获得 150 点数。	暴击后连击 8	
_F30238A7BCA6355A	BFCE09	暴击后连击 9							该动作仅在打出暴击后可用 - 获得 180 点数。	暴击后连击 9	
_07A7CFEAB83F97CB	BFCE10	暴击后连击 10							该动作仅在打出暴击后可用 - 获得 215 点数。	暴击后连击 10	
_07B7CFEAB8EFABCC	BFCE11	暴击后连击 11							该动作仅在打出暴击后可用 - 获得 250 点数。	暴击后连击 11	
_7CAAB8240F2852AF	BCPA01	Fyros 近战武器							制造 Fyros 近战武器的基础节。		
_7CCAC020D04846B4	BCPA02	Fyros 远程武器							制造 Fyros 远程武器的基础节。		
_FA21B3A084126C07	BCPA03	Fyros 弹药							制造 Fyros 弹药的基础节。		
_25196EB206B0AE60	BCPA04	Fyros 护甲							制造 Fyros 护甲的基础节。		
_D035D75A6F679DD2	BCPA05	Fyros 盾牌							制造 Fyros 盾牌的基础节。		
_A3BA3AB584518263	BCPA06	Fyros 首饰							制造 Fyros 首饰的基础节。		
_FD29BC2609986AA9	BCPA07	Matis 近战武器							制造 Matis 近战武器的基础节。		
_FD49C422CAB85EAE	BCPA08	Matis 远程武器							制造 Matis 远程武器的基础节。		
_3C90679E7E828407	BCPA09	Matis 弹药							制造 Matis 弹药的基础节。		
_1F8956B400208663	BCPA10	Matis 护甲							制造 Matis 护甲的基础节。		
_9235BF5C697795BB	BCPA11	Matis 盾牌							制造 Matis 盾牌的基础节。		
_9D2A22B77EC15A66	BCPA12	Matis 首饰							制造 Matis 首饰的基础节。		
_EFA2E45EC839A0ED	BCPA13	Tryker 近战武器							制造 Tryker 近战武器的基础节。		
_6F62F86048F9B8EF	BCPA14	Tryker 远程武器							制造 Tryker 远程武器的基础节。		
_1F7CA72E11F2FCDE	BCPA15	Tryker 弹药							制造 Tryker 弹药的基础节。		
_2AE232B62C7AAD81	BCPA16	Tryker 护甲							制造 Tryker 护甲的基础节。		
_8C676CECB2765E46	BCPA17	Tryker 盾牌							制造 Tryker 盾牌的基础节。		
_E7721AACAE48B18B	BCPA18	Tryker 首饰							制造 Tryker 首饰的基础节。		
_7CD0D0248C694AA2	BCPA19	Zoraï 近战武器							制造 Zoraï 近战武器的基础节。		
_7CF0D8204D8916A8	BCPA20	Zoraï 远程武器							制造 Zoraï 远程武器的基础节。		
_77E853B4015364FF	BCPA21	Zoraï 弹药							制造 Zoraï 弹药的基础节。		
_A22136B283506E62	BCPA22	Zoraï 护甲							制造 Zoraï 护甲的基础节。		
_D5FC9F5A6AC895CA	BCPA23	Zoraï 盾牌							制造 Zoraï 盾牌的基础节。		
_20C202B501F14265	BCPA24	Zoraï 首饰							制造 Zoraï 首饰的基础节。		
_F2BD00EFAB473B2A	BIF01	%comp									
_F2BD00EFAB473B2B	BIF02	%comp									
_F2BD00EFAB473B2C	BIF03	%comp									
_F2BD00EFAB473B2D	BIF04	%comp									
_F2BD00EFAB473B2E	BIF05	%comp									
_F2BD00EFAB473B2F	BIF06	%comp									
_4414D1D754F87749	BIF07	%comp 单手锤									
_F2BD00EFAB473B31	BIF08	%comp									
_1310C067D555CE38	BIF09	%comp 杖									
_32BD00EFAB473B29	BIF10	%comp									
_32BD00EFAB473B2A	BIF11	%comp									
_32BD00EFAB473B2B	BIF12	%comp									
_32BD00EFAB473B2C	BIF13	%comp									
_1250B067D555BA40	BIF14	%comp 矛									
_32BD00EFAB473B2E	BIF15	%comp									
_32BD00EFAB473B2F	BIF16	%comp									
_32BD00EFAB473B30	BIF17	%comp									
_81BEC5CB19B87F61	BIF18	%comp 单手斧									
_32BD00EFAB473B32	BIF19	%comp									
_9E4401C415C9A758	BIF20	%comp 单手剑									
_72BD00EFAB473B2A	BIF21	%comp 单手剑									
_72BD00EFAB473B2B	BIF22	%comp									
_72BD00EFAB473B2C	BIF23	%comp									
_72BD00EFAB473B2D	BIF24	%comp									
_72BD00EFAB473B2E	BIF25	%comp									
_C4B4F5DC54F87748	BIF26	%comp 双手锤									
_72BD00EFAB473B30	BIF27	%comp									
_72BD00EFAB473B31	BIF28	%comp									
_72BD00EFAB473B32	BIF29	%comp									
_CE80B0411778CA2A	BIF30	%comp 长矛									
_B2BD00EFAB473B2A	BIF31	%comp									
_B2BD00EFAB473B2B	BIF32	%comp									
_B2BD00EFAB473B2C	BIF33	%comp									
_015EE9D019B87F5D	BIF34	%comp 双手斧									
_B2BD00EFAB473B2E	BIF35	%comp									
_B2BD00EFAB473B2F	BIF36	%comp									
_B2BD00EFAB473B30	BIF37	%comp									
_DEE425C915C9A760	BIF38	%comp 双手剑									
_B2BD00EFAB473B32	BIF39	%comp 双手剑									
_F3BD00EFAB473B29	BIF40	%comp									
_F3BD00EFAB473B2A	BIF41	%comp									
_F3BD00EFAB473B2B	BIF42	%comp									
_F3BD00EFAB473B2C	BIF43	%comp									
_1500005B4915FE48	BIF44	%comp 匕首									
_F3BD00EFAB473B2E	BIF45	%comp 匕首									
_F3BD00EFAB473B2F	BIF46	%comp									
_747975A146FE6454	BIF47	%comp 徒手格斗									
_F3BD00EFAB473B31	BIF48	%comp									
_F3BD00EFAB473B32	BIF49	%comp									
_33BD00EFAB473B29	BIF50	%comp									
_33BD00EFAB473B2A	BIF51	%comp									
_6024285D4F973B69	BIF52	%comp 弓手枪									
_33BD00EFAB473B2C	BIF53	%comp									
_33BD00EFAB473B2D	BIF54	%comp									
_33BD00EFAB473B2E	BIF55	%comp									
_99C120674935EA54	BIF56	%comp 手枪									
_33BD00EFAB473B30	BIF57	%comp									
_33BD00EFAB473B31	BIF58	%comp									
_33BD00EFAB473B32	BIF59	%comp									
_73BD00EFAB473B29	BIF60	%comp									
_E1035C53D799BB67	BIF61	%comp 连发投射器									
_73BD00EFAB473B2B	BIF62	%comp									
_73BD00EFAB473B2C	BIF63	%comp									
_5F637452C9E62348	BIF64	%comp 弓式步枪									
_73BD00EFAB473B2E	BIF65	%comp									
_73BD00EFAB473B2F	BIF66	%comp									
_73BD00EFAB473B30	BIF67	%comp									
_5E433C5C0C762B46	BIF68	%comp 投射器									
_73BD00EFAB473B32	BIF69	%comp									
_B3BD00EFAB473B29	BIF70	%comp									
_56609466D555AE36	BIF71	%comp 步枪									
_B3BD00EFAB473B2B	BIF72	%comp									
_B3BD00EFAB473B2C	BIF73	%comp									
_B3BD00EFAB473B2D	BIF74	%comp									
_B3BD00EFAB473B2E	BIF75	%comp									
_B3BD00EFAB473B2F	BIF76	%comp									
_B3BD00EFAB473B30	BIF77	%comp									
_B3BD00EFAB473B31	BIF78	%comp									
_B3BD00EFAB473B32	BIF79	%comp									
_F4BD00EFAB473B29	BIF80	%comp									
_F4BD00EFAB473B2A	BIF81	%comp									
_F4BD00EFAB473B2B	BIF82	%comp									
_F4BD00EFAB473B2C	BIF83	%comp									
_F4BD00EFAB473B2D	BIF84	%comp									
_F4BD00EFAB473B2E	BIF85	%comp									
_F4BD00EFAB473B2F	BIF86	%comp									
_F4BD00EFAB473B30	BIF87	%comp									
_F4BD00EFAB473B31	BIF88	%comp									
_F4BD00EFAB473B32	BIF89	%comp									
_34BD00EFAB473B29	BIF90	%comp									
_34BD00EFAB473B2A	BIF91	%comp									
_34BD00EFAB473B2B	BIF92	%comp									
_34BD00EFAB473B2C	BIF93	%comp									
_34BD00EFAB473B2D	BIF94	%comp									
_34BD00EFAB473B2E	BIF95	%comp									
_34BD00EFAB473B2F	BIF96	%comp									
_34BD00EFAB473B30	BIF97	%comp									
_34BD00EFAB473B31	BIF98	%comp									
_34BD00EFAB473B32	BIF99	%comp									
_B8DBDDF723F4A6CE	BIF100	%comp									
_B8DBDDF723F4AACE	BIF101	%comp									
_B8DBDDF723F4AECE	BIF102	%comp									
_B8DBDDF723F4B2CE	BIF103	%comp									
_B8DBDDF723F4B6CE	BIF104	%comp									
_B8DBDDF723F4BACE	BIF105	%comp									
_B8DBDDF723F4BECE	BIF106	%comp									
_B8DBDDF723F4C2CE	BIF107	%comp									
_B8DBDDF723F4C6CE	BIF108	%comp									
_B8DBDDF723F4CACE	BIF109	%comp									
_B8DBDDF723F4A6CF	BIF110	%comp									
_B8DBDDF723F4AACF	BIF111	%comp									
_B8DBDDF723F4AECF	BIF112	%comp									
_B8DBDDF723F4B2CF	BIF113	%comp									
_B8DBDDF723F4B6CF	BIF114	%comp									
_B8DBDDF723F4BACF	BIF115	%comp									
_B8DBDDF723F4BECF	BIF116	%comp									
_B8DBDDF723F4C2CF	BIF117	%comp									
_B8DBDDF723F4C6CF	BIF118	%comp									
_B8DBDDF723F4CACF	BIF119	%comp									
_B8DBDDF723F4A6D0	BIF120	%comp									
_B8DBDDF723F4AAD0	BIF121	%comp									
_F17CB99965E9DA08	melee_reduce_latency_1	降低延迟 1							此处填入节的描述。		
_C89A16ADDC5721EB	bcfpea13	弓手枪砸击弹药							Fyros 弓手枪砸击弹药的制造图样。		
_23881AAB5C38BE48	bcfpea14	弓手枪穿刺弹药							Fyros 弓手枪穿刺弹药的制造图样。		
_63982AAA5D68BE4D	bcfpea15	弓手枪劈砍弹药							Fyros 弓手枪劈砍弹药的制造图样。		
_66785758E8E36ED0	bcfpea07	手雷砸击弹药							Fyros 手雷砸击弹药的制造图样。		
_A54804B6C2B37EC0	bcfpea08	手雷穿刺弹药							Fyros 手雷穿刺弹药的制造图样。		
_66C808B2C33382BC	bcfpea09	手雷劈砍弹药							Fyros 手雷劈砍弹药的制造图样。		
_4153BBF465B5A5CB	bcfpea16	手枪砸击弹药							Fyros 手枪砸击弹药的制造图样。		
_42526B067A6B82BA	bcfpea17	手枪穿刺弹药							Fyros 手枪穿刺弹药的制造图样。		
_82128B0ABA9B8EBF	bcfpea18	手枪劈砍弹药							Fyros 手枪劈砍弹药的制造图样。		
_830E30FA25DD798A	bcfpea01	连发投射器砸击弹药							Fyros 连发投射器砸击弹药的制造图样。		
_46EFCD687A0D4977	bcfpea02	连发投射器穿刺弹药							Fyros 连发投射器穿刺弹药的制造图样。		
_C71FCD68FC6D3D76	bcfpea03	连发投射器劈砍弹药							Fyros 连发投射器劈砍弹药的制造图样。		
_F54D1839C0B3D76E	bcfpea04	弓式步枪砸击弹药							Fyros 弓式步枪砸击弹药的制造图样。		
_EF6F75A4DEA2E75E	bcfpea05	弓式步枪穿刺弹药							Fyros 弓式步枪穿刺弹药的制造图样。		
_F2AF65A7DEF2EB5A	bcfpea06	弓式步枪劈砍弹药							Fyros 弓式步枪劈砍弹药的制造图样。		
_E29C59A7513F4799	bcfpea10	投射器砸击弹药							Fyros 投射器砸击弹药的制造图样。		
_76C3BE93163E3BA7	bcfpea11	投射器穿刺弹药							Fyros 投射器穿刺弹药的制造图样。		
_B8D3AE9B56FE47AA	bcfpea12	投射器劈砍弹药							Fyros 投射器劈砍弹药的制造图样。		
_140DBB67DB37F640	bcfpea19	步枪砸击弹药							Fyros 步枪砸击弹药的制造图样。		
_6EFCCB46D92787BC	bcfpea20	步枪穿刺弹药							Fyros 步枪穿刺弹药的制造图样。		
_6E4CCF471A1793BF	bcfpea21	步枪劈砍弹药							Fyros 步枪劈砍弹药的制造图样。		
_C8A9D2B4DC5721E5	bcmpea13	弓手枪砸击弹药							Matis 弓手枪砸击弹药的制造图样。		
_2397D6B25C38BE42	bcmpea14	弓手枪穿刺弹药							Matis 弓手枪穿刺弹药的制造图样。		
_63A7E6B15D68BE47	bcmpea15	弓手枪劈砍弹药							Matis 弓手枪劈砍弹药的制造图样。		
_E5A8FF47AAE36ED0	bcmpea07	手雷砸击弹药							Matis 手雷砸击弹药的制造图样。		
_2478ACA584B37EC0	bcmpea08	手雷穿刺弹药							Matis 手雷穿刺弹药的制造图样。		
_E5F8B0A1853382BC	bcmpea09	手雷劈砍弹药							Matis 手雷劈砍弹药的制造图样。		
_C0E343FD5F25A5CB	bcmpea16	手枪砸击弹药							Matis 手枪砸击弹药的制造图样。		
_C1E2F30F74DB82BA	bcmpea17	手枪穿刺弹药							Matis 手枪穿刺弹药的制造图样。		
_01A21313B40B8EBF	bcmpea18	手枪劈砍弹药							Matis 手枪劈砍弹药的制造图样。		
_029ED001A4FD1991	bcmpea01	连发投射器砸击弹药							Matis 连发投射器砸击弹药的制造图样。		
