*HASH_VALUE	placeId	name	da	pr	p	pda	ppr
_ABCA145E0B69D8AC	place_koi_zun	Koï-Zun					
_1E3598B7E38A3894	place_yin_piang	Yin-Piang					
_077F812B671904A6	region_imperialdunes	帝国沙丘					
_B9EF3D22E9E614FA	region_oflovaksoasis	Oflovak 绿洲					
_DE4B79286F6720AC	region_sawdustmines	木屑矿场					
_1ECE042FAA98A4CA	region_frahartowers	Frahar 之塔					
_6C6F6D126C67609C	region_thesavagedunes	蛮荒沙丘					
_E468393398488CC4	region_dunesofexil	流亡沙丘					
_DDAC444B69C7FCC9	region_outlawcanyon	亡命峡谷					
_D241D277C41E7296	region_thescorchedcorridor	焦土走廊					
_AACA20B730BBECAC	place_pyr	Pyr					
_AB69ECB8E7387889	place_thesos	Thesos					
_D2F8DCC4F2788CBC	place_dyron	Dyron					
_7188D0B19515E4BD	continent_fyros	燃烧沙漠					
_CB801D2A284B2C1F	continent_fyros_newbie	燃烧沙漠					
_E50A584FEB59BCBF	fyros_nland	Fyros 之岛					
_509A0CAE6ADA3494	place_aegus	Aegus					
_E969A4AFE2164880	place_kaemon	Kaemon					
_A94AC4AF650A38B8	place_sekovix	Sekovix					
_ACAAECC829F96485	place_phyxon	Phyxon					
_69B978A6A878E0B4	place_galemus	Galemus					
_A8543324AA29C8B0	region_libertylake	自由湖					
_A314F0B0E1C9D4B5	region_dewdrops	露珠					
_1D3C352DEA09F4A3	region_restingwater	静水					
_E33311255F58B0C1	region_windsofmuse	Muse 之风					
_2D589CAE64D990C6	region_thefount	泉源					
_FDFBBD1DA5D884F4	region_bountybeaches	丰饶海滩					
_7E503D166815C3EB	region_enchantedisle	魔法之岛					
_C5A069FAEEED45BF	region_lagoonsofloria	Loria 泻湖					
_22D9D0AADC0868A1	place_fairhaven	Fairhaven					
_5FF8B09BF087809E	place_avendale	Avendale					
_27FBF898E778249C	place_crystabell	Crystabell					
_A859B09A26F96898	place_windermeer	Windermeer					
_6F69648D2EB673C3	continent_tryker	Aeden 水域					
_0D304100E4191064	continent_tryker_newbie	Aeden 水域					
_9E05E8A9EA390CA0	tryker_nland	Tryker 之岛					
_A76ABC87ABA994A7	place_aubermouth	Aubermouth					
_61F898B5A578649F	place_barkdell	Barkdell					
_E518F895AE3704A5	place_hobwelly	Hobwelly					
_E9BA68BD245A74BA	place_waverton	Waverton					
_2468B8B7606888A3	place_dingleton	Dingleton					
_AC96B090543870A0	guild_hall	公会大厅					
_5F15D0B167CA0CA4	guild_council	公会理事会					
_F13D701523F59873	guild_RM_fight	公会战斗培训师					
_F1BD8C0463F5347B	guild_RM_magic	公会魔法培训师					
_077EC9E0BDABE324	guild_RM_harvest	公会采集培训师					
_70CE6415A295BC6E	guild_RM_craft	公会制造培训师					
_A5D7AFB6E6FA98B9	player_room	玩家房间					
_B187F8BAA67AEC8E	exit	出口					
_21A51698B819D00D	place_lieudit_majesticgarden_1	Psykopla 之丘					
_F2205186FD3C18E2	place_lieudit_majesticgarden_2	Matis 竞技场					
_4356FA692CB82013	place_lieudit_majesticgarden_3	魅惑者之路					
_F7FB517E408C240F	place_lieudit_fleetinggarden_1	Kami 之环					
_C33E2C11E73D3815	place_lieudit_fleetinggarden_2	珍宝窟					
_C0EF2C93C23D7CC6	place_lieudit_fleetinggarden_3	狂怒之巢					
_811E2C11C0CD0C19	place_lieudit_fleetinggarden_4	崛起之地					
_45B4427C36BD0CBE	place_lieudit_knollofdissent_1	苦难隧道					
_1DA3059149CDC178	place_lieudit_knollofdissent_2	奔丘隘口					
_1AA4E193859DFC89	place_lieudit_knollofdissent_3	塔桥道					
_1620069204445D27	place_lieudit_knollofdissent_4	Torbak 径丘					
_C59E1288C70BDF05	place_lieudit_knollofdissent_5	杀戮之树					
_83965695071BE30C	place_lieudit_knollofdissent_6	惩戒之山					
_3D5FF1AB5AEA211B	place_lieudit_upperbog_1	Fencoomb 池塘 					
_427F45D10A8850B1	place_lieudit_upperbog_2	畏惧泥沼					
_41A6096B7658B814	place_lieudit_upperbog_3	恶魔泥沼					
_C3A025E58B8850B1	place_lieudit_upperbog_4	喘息隘口					
_FCB5018BC8EF498D	place_lieudit_hereticshovel_1	精灵迷宫					
_FE06168AC58D54D5	place_lieudit_hereticshovel_2	寒栗沼泽					
_F78692029E74E044	place_lieudit_hereticshovel_3	双图腾瀑布					
_7F6B9529445E65DC	place_lieudit_hereticshovel_4	愚行平原					
_6C8FE6698AD03107	place_lieudit_hiddensource_1	小丘					
_B13D327144E075C2	place_lieudit_hiddensource_2	Virginia 瀑布					
_6AA9510AAABF6D01	place_lieudit_hiddensource_3	Tylini 之门					
_82AF095C7A1D0915	place_lieudit_groveofconfusion_1	Mullgrove					
_DC943954BA1D9E89	place_lieudit_groveofconfusion_2	东林之门					
_DC944966FA1D9E89	place_lieudit_groveofconfusion_3	西林之门					
_815FD9573B1D0915	place_lieudit_groveofconfusion_4	高林					
_21E51E4FFB7A0190	place_lieudit_citiesofintuition_1	止水					
_2365BA52FA7A3524	place_lieudit_citiesofintuition_2	苔藓断崖					
_22B4277C9955D68A	place_lieudit_citiesofintuition_3	Mektoub 水洼					
_22A5BA372EAEF598	place_lieudit_citiesofintuition_4	神秘瀑布					
_FC8B19F957685906	place_lieudit_maidengrove_1	棕榈谷					
_FBDA1411A8D8F90F	place_lieudit_maidengrove_2	少女之池					
_3D3C3511A8F9191F	place_lieudit_maidengrove_3	Slavenhurst					
_71F73111A9AE4D10	place_lieudit_maidengrove_4	猎禽湖					
_9652EEE308C47E8C	place_lieudit_maidengrove_5	巨砾隧道					
_D9167A8A842FF9FE	place_lieudit_havenofpurity_1	大角山					
_3C9FD1282AFA69DC	place_lieudit_havenofpurity_2	浊湖					
_802F8D7FC160ED92	place_lieudit_havenofpurity_3	Kincher 拱门					
_B67B641BE71925F6	place_lieudit_groveofumbra_1	Kipee 山丘					
_F25D690296A98092	place_lieudit_groveofumbra_2	狡黠之湖					
_37BDC190BF7F8DB4	place_lieudit_groveofumbra_3	暗道拱门					
_33FD5A7E83A0C1B6	place_lieudit_groveofumbra_4	枯萎之木					
_57A37D6670946562	place_lieudit_knotofdementia_1	大荒原					
_400FBD907F8C280F	place_lieudit_knotofdementia_2	荒漠枯木					
_7ECECD136BAE180B	place_lieudit_knotofdementia_3	Stainmoor					
_D715525A73AE1C0B	place_lieudit_knotofdementia_4	Stainmoor 之门					
_57C48A86FAD8897D	place_lieudit_knotofdementia_5	高地绝路					
_7C2EBD2229D61808	place_lieudit_knotofdementia_6	希望小谷					
_C2AF75BBA506F90F	place_lieudit_thevoid_1	至高之木					
_BA1A79F891772911	place_lieudit_thevoid_2	失落之谷					
_6F1FDD14D842A11A	place_lieudit_thevoid_3	绝望之岬					
_07A7068C7EF16649	place_lieudit_imperialdunes_1	帝王之谷					
_C1D08D256F98C4DF	place_lieudit_imperialdunes_2	四方路					
_6BA06D2C89EF3DBD	place_lieudit_imperialdunes_3	峡谷隘口					
_F5FCB51D270F9DDE	place_lieudit_oflovaksoasis_1	绿洲裂谷					
_FD50A990410EF596	place_lieudit_oflovaksoasis_2	Clopper 之丘					
_3B107D246448FCEA	place_lieudit_oflovaksoasis_3	中枢峰					
_7C51851FE7C8B5E4	place_lieudit_oflovaksoasis_4	树皮沟壑					
_32C47DF47ABCDAB2	place_lieudit_oflovaksoasis_5	烈焰森林之路					
_77DF690855E95006	place_lieudit_sawdustmines_1	荒地					
_73EE8923670921FA	place_lieudit_sawdustmines_2	高脊					
_EBAAAD160310ED04	place_lieudit_sawdustmines_3	树皮沙丘					
_AFAAC51FAB10010C	place_lieudit_sawdustmines_4	Varynx 高地					
_74FE5E78C79FD5C1	place_lieudit_sawdustmines_5	不安之水					
_733DB18E849FB5B9	place_lieudit_frahartowers_1	孤身隘口					
_D0D5325F73806DC1	place_lieudit_frahartowers_2	辽阔旷野					
_F3DEB11C69192907	place_lieudit_frahartowers_3	高塔群					
_863C8C1769CDF80B	place_lieudit_thesavagedunes_1	灰烬峡谷					
_6334927D43AFACB9	place_lieudit_thesavagedunes_2	Thesos 之泉					
_62E45E80C23E0927	place_lieudit_thesavagedunes_3	Thesos 水潭					
_B34EDD89417EECEB	place_lieudit_thesavagedunes_4	南岭					
_9CC0A680C2BE4D28	place_lieudit_thesavagedunes_5	Thesos 瀑峰					
_85E48680021CEFFA	place_lieudit_thesavagedunes_6	Kipucka 平原					
_B30C301DECBA25EF	place_lieudit_dunesofexile_1	Dyron 之丘					
_75FA698A44BFA9A3	place_lieudit_dunesofexile_2	龙尾					
_D9CF691E6C59148C	place_lieudit_dunesofexile_3	Malmont					
_B334ED95881F99B1	place_lieudit_dunesofexile_4	Mossok 废墟					
_37D93E9548BF95A0	place_lieudit_outlawcanyon_1	龙脊					
_11248A9B80DAE5E9	place_lieudit_outlawcanyon_2	明耀林岗					
_BF760B0661161AE9	place_lieudit_outlawcanyon_3	龙喉绝路					
_CB9DFAF2DE057A98	place_lieudit_thescorchedcorridor_1	烈焰森林					
_962FDD8843B7AE93	place_lieudit_thescorchedcorridor_2	Varynx 幽窟					
_B105AAE5D4025E8F	place_lieudit_thescorchedcorridor_3	隐秘 Kami 绿洲					
_60BD550BE95874B3	place_lieudit_libertylake_1	暗沼					
_BB6C650529F858B3	place_lieudit_libertylake_2	湖中岛					
_38FD1D1368D83030	place_lieudit_libertylake_3	黑水					
_BDDA1421AA01151E	place_lieudit_windsofmuse_1	女巫小湾					
_38FDAE6AF0AEFC1C	place_lieudit_windsofmuse_2	Muse 守望湖					
_1332FA82C18C8136	place_lieudit_windsofmuse_3	长眠之山					
_40ECF1C8EEDA68A8	place_lieudit_windsofmuse_4	狂风之路					
_042EF59E1EC81D18	place_lieudit_thefount_1	死蝇平原					
_2A2F69F2DB074BBB	place_lieudit_thefount_2	泉源厅					
_2AA971EB98C64BBB	place_lieudit_thefount_3	泉源之湖					
_ACA9A9F25B187CAF	place_lieudit_thefount_4	南湖					
_B0B55E30E4FF39FC	place_lieudit_thefount_5	凝思之柱					
_6F90EA75021FA1BF	place_lieudit_bountybeaches_1	Torbak 旷地					
_830F548A033F41DF	place_lieudit_bountybeaches_2	Cute 之泉					
_6054D4F19ED5FA49	place_lieudit_bountybeaches_3	Cute 之泉回环					
_23377A7CC2AEDD8F	place_lieudit_bountybeaches_4	自由之门					
_421F54206779ADE0	place_lieudit_bountybeaches_5	双峰					
_0026ED8F42DF2591	place_lieudit_bountybeaches_6	纷争之裂					
_B8CABD1B47AE65E3	place_lieudit_enchantedisle_1	尖峰					
_B7CABD85846E35E0	place_lieudit_enchantedisle_2	Baily 泻湖					
_D9546930447E9505	place_lieudit_enchantedisle_3	绝境泥沼					
_FC151E827C8B3DF3	place_lieudit_enchantedisle_4	墓园步道					
_DCE4267C50D0064C	place_lieudit_enchantedisle_5	魔法之环					
_2D7FDD83038D38F2	place_lieudit_lagoonsofloria_1	疾风峡谷					
_F9115E7FC10C4020	place_lieudit_lagoonsofloria_2	上湖					
_37EAAD1E2ACC341A	place_lieudit_lagoonsofloria_3	静谧之穴					
_88470A6FBBCBE815	place_lieudit_the_windy_gate_1	Leron 废墟					
_8907026EB4A0A57E	place_lieudit_the_windy_gate_2	Darkring 大厅					
_96A55926003F0877	place_lieudit_the_windy_gate_3	倒伏之树					
_1B77D652AD6FE574	place_lieudit_the_windy_gate_4	狂风门石柱					
_A3049E4AB61D1E9E	place_lieudit_gateofobscurity_1	街巷崖					
_F06E818C757C9509	place_lieudit_gateofobscurity_2	高环石阵					
_426EC12D9DDDB12D	place_lieudit_gateofobscurity_3	低丘					
_419EAD8BB60CDD2F	place_lieudit_gateofobscurity_4	暗井					
_A489686D2848EC6D	place_lieudit_nexus_1	贝壳之穴					
_6779912FE004D832	place_lieudit_nexus_2	宿命终点					
_11BAF02D2988C054	place_lieudit_nexus_3	锤击丘陵					
_FDBDF4DB65E891ED	place_lieudit_nexus_4	被弃营地					
_CFD396CEE116EE90	place_lieudit_the_abyss_of_ichor_1	圣山					
_99B2C1288291D288	place_lieudit_the_abyss_of_ichor_2	Saprun 哨站					
_D8A2256C40002922	place_lieudit_the_abyss_of_ichor_3	神殿之陨					
_49630D6A9E56C263	place_lieudit_the_trench_of_trials_1	诡异之谷					
_CEF4566CC09F1170	place_lieudit_the_trench_of_trials_2	Yelkgrove					
_C2007270C1CFCE73	place_lieudit_the_trench_of_trials_3	鬼魅尽头					
_9BE1C4646723A693	place_lieudit_the_elusive_forest_1	丰饶之地					
_829CF96A8751FD27	place_lieudit_the_elusive_forest_2	高井					
_CBB3096D0B57AE7B	place_lieudit_the_elusive_forest_3	幽林之祸					
_A0A2911E09212DA2	place_lieudit_the_elusive_forest_4	岩洞隘口					
_9BDBDEB34A32BE9F	place_lieudit_the_elusive_forest_5	三图腾隘口					
_78D96E6B9117D206	place_lieudit_the_elusive_forest_6	巨菇隘口					
_5BE67A11F07FF584	place_lieudit_the_under_spring_1	枯树洞窟					
_2FE14968B350B1F8	place_lieudit_the_under_spring_2	树液沼泽					
_9D481E4A1F7FD286	place_lieudit_the_under_spring_3	潜行之水					
_2097EA1FF11F4182	place_lieudit_the_under_spring_4	Tryde 废墟					
_5A269A2071868E83	place_lieudit_the_under_spring_5	飞矢草甸					
_241D67F3180FB983	place_lieudit_the_land_of_continuity_1	怨毒之翼					
_26DC67507B395681	place_lieudit_the_land_of_continuity_2	巨菇林					
_BDE9B29A1D19BEEB	place_lieudit_the_land_of_continuity_3	诅咒洞窟					
_9EE6F6EFA1228934	place_lieudit_the_land_of_continuity_4	岩洞步道					
_21B5D3E79E627134	place_lieudit_the_land_of_continuity_5	途中之所					
_A0E5FA5B3678B92B	place_lieudit_the_sunken_city_1	树液大湖					
_22852E69F288B525	place_lieudit_the_sunken_city_2	幽灵峡谷					
_8FD6CEF654E02984	place_lieudit_the_sunken_city_3	龙角谷					
_20363A5BAA09827D	place_lieudit_forbidden_depths_1	诅咒绝路					
_26AB4F40D6DADF32	place_lieudit_forbidden_depths_2	山祟殿					
_43D6BE3BE03EF813	place_lieudit_forbidden_depths_3	恶魔洼地					
_9BE5261797F0E5B6	place_outpost_matis_15	Psykopla 之丘贸易站					
_9E955D2DB01E08E0	place_outpost_matis_05	崛起之地边境哨站					
_FDDF8294734D1FCF	place_outpost_matis_06	东南商栈					
_276F7127A032A330	place_outpost_matis_07	寻宝人农场					
_AF8F913A2B389760	place_outpost_matis_08	珍宝窟工坊					
_0CDFF97A30EC4CD9	place_outpost_matis_09	Kami 之环魔法图腾					
_DDF39152C9DD0457	place_outpost_matis_16	奔丘边境哨站					
_AFD0653A6A689361	place_outpost_matis_17	Wooky 工坊					
_1551FEAC447A2346	place_outpost_matis_18	旱门要塞					
_4F00F10722E4CD49	place_outpost_matis_19	奔丘研究中心					
_80FF6D9502E9F4D8	place_outpost_matis_20	Ryecliff 要塞					
_BDBD2036ABA7949D	place_outpost_matis_21	Torbak 之丘农场					
_08C716A9C5FCFFD0	place_outpost_matis_22	惩戒之山工坊					
_ECD1753646FCCBBF	place_outpost_matis_23	惩戒之山农场					
_C2610B10DA12A018	place_outpost_matis_01	喘息隘口研究中心					
_FD4F81286E8EC098	place_outpost_matis_02	Stalia 要塞					
_B7DB991E9F080FD1	place_outpost_matis_03	畏惧泥沼农场					
_42EF6D35E33910DE	place_outpost_matis_04	Fencoomb 工坊					
_585666AC47FB5008	place_outpost_matis_28	小丘工坊					
_170576ACA2815001	place_outpost_matis_29	小丘要塞					
_C26112A102D2C42C	place_outpost_matis_30	Berello 峡谷边境哨站					
_76BCF7E6C446C678	place_outpost_matis_31	Virginia 瀑布外交前哨站					
_16A1F294799F2D04	place_outpost_matis_32	Virginia 瀑布魔法图腾					
_E27BBA05A2D565E2	place_outpost_matis_10	上陋室外交前哨站					
_93DAC8C4EB574350	place_outpost_matis_11	愚行农场					
_8150691475FC20EC	place_outpost_matis_12	绿池工坊					
_755CA30BD88C2C00	place_outpost_matis_13	寒栗沼泽研究中心					
_C7B3E6A8E20210E0	place_outpost_matis_14	精灵迷宫边境哨站					
_02E04A8AF11D40E8	place_outpost_matis_24	西林要塞					
_01E0A522316C48ED	place_outpost_matis_25	东林工坊					
_1B465A313103094F	place_outpost_matis_26	高林研究中心					
_AFCF8939E9679362	place_outpost_matis_27	Ginti 工坊					
_C36C782A2CA83799	place_outpost_zorai_08	Qai-Du 工坊					
_032AA1E4A947F396	place_outpost_zorai_09	天涯农场					
_40CD74977FCA14E6	place_outpost_zorai_10	Sai-Shun 要塞					
_016DC992459EAC9C	place_outpost_zorai_11	少女之池工坊					
_C20E29A349DB838E	place_outpost_zorai_12	巨手边境哨站					
_B706B292C98F40A3	place_outpost_zorai_13	巨砾工坊					
_76159184087E2113	place_outpost_zorai_14	巨砾商栈					
_4F2FA59987ABD45F	place_outpost_zorai_20	Kincher 拱门边境哨站					
_80608520B94D0CDF	place_outpost_zorai_21	浊湖工坊					
_14D204357D7859A8	place_outpost_zorai_22	恶魔十字外交前哨站					
_7FB51A93FE97FFE2	place_outpost_zorai_23	大角山农场					
_1530E2A73F8035FD	place_outpost_zorai_01	枯萎之木魔法图腾					
_01BE09EE31071F99	place_outpost_zorai_02	Gu-Qin 工坊					
_FC5C2C2AB1F7B09B	place_outpost_zorai_03	覆灭迷宫农场					
_4BD5B69AFE1B1129	place_outpost_zorai_04	暗道拱门要塞					
_9AB59256CA9B9791	place_outpost_zorai_05	Gu-Qin 研究中心					
_8725F28C88DDB8E0	place_outpost_zorai_06	幽影高背工坊					
_76B7F5D4D840B9CC	place_outpost_zorai_07	狡黠之湖十字边境哨站					
_D8C3F99CBA68EBCF	place_outpost_zorai_24	Jen-Laï 研究中心					
_BD1E8D36495C0BEA	place_outpost_zorai_25	远眺要塞					
_C1AFFE76387F2CE8	place_outpost_zorai_26	Stainmoor 要塞					
_FFF6266871FB5CDF	place_outpost_zorai_27	Stainmoor 边境哨站					
_002D0C3469D760F0	place_outpost_zorai_28	荒漠枯木农场					
_B795AA8F467F70B1	place_outpost_zorai_29	大荒原工坊					
_2638D5F5EAE53A73	place_outpost_zorai_30	Ni-Jing 农场					
_07657E5F4A8E0BCF	place_outpost_zorai_15	Zo-Kian 废墟工坊					
_569F05AA450D40DD	place_outpost_zorai_16	失落之谷要塞					
_58A5FA8D735ED059	place_outpost_zorai_17	至高之木工坊					
_FF1E7D298BCD17D9	place_outpost_zorai_18	凝视要塞					
_7F5C18356A0864EF	place_outpost_zorai_19	枯萎之木农场					
_3C0F567EB96B13E4	place_outpost_fyros_14	Blackburn 商栈					
_01F0850E9E96676B	place_outpost_fyros_10	北湖农场					
_BFDF9A8F799BEBD0	place_outpost_fyros_11	北湖商栈					
_C2E0991F370D14E9	place_outpost_fyros_12	树皮沟壑工坊					
_BE936A8FA73411E6	place_outpost_fyros_13	西 Blackburn 边境哨站					
_0A0536AF89BD45E9	place_outpost_fyros_17	树皮峡谷要塞					
_2F7F994109BD6C70	place_outpost_fyros_18	树皮峡谷农场					
_097D53C065530D29	place_outpost_fyros_19	高脊外交前哨站					
_C7172DA1C948FBDF	place_outpost_fyros_20	荒地工坊 					
_DBB6528E0A2B8793	place_outpost_fyros_21	Thesos 研究中心					
_383B5D59892C68ED	place_outpost_fyros_06	东 Dyron 工坊					
_439262814D24B1DA	place_outpost_fyros_07	Frahar 之塔边境哨站					
_0217CE4C0B7D28EF	place_outpost_fyros_08	高塔群要塞					
_02A0E9DDF10773ED	place_outpost_fyros_09	高塔群农场					
_5D256E930D350DBA	place_outpost_fyros_22	Thesos 之泉要塞					
_4A25269B4CCD03C9	place_outpost_fyros_23	奔岭工坊					
_E2DA0E01E7C43DED	place_outpost_fyros_24	南岭外交前哨站					
_EC1FB94002BAE4BF	place_outpost_fyros_25	南端沙丘农场					
_8161728C4983DC1D	place_outpost_fyros_26	Kipucka 平原边境哨站					
_4C56B2383C8DF8B5	place_outpost_fyros_01	Dyron 之丘边境哨站					
_C9C43D9E4A4D64BF	place_outpost_fyros_02	北 Dyron 要塞					
_4AF5128B46C95087	place_outpost_fyros_03	龙尾工坊					
_263999346B944A7D	place_outpost_fyros_04	Malmont 农场					
_01AE559785BDC49B	place_outpost_fyros_05	峡谷路工坊					
_99952A96C72F99C0	place_outpost_fyros_15	龙脊要塞					
_5AA53E92C798FCC1	place_outpost_fyros_16	龙脊工坊					
_C0FF5D8B04C9D09D	place_outpost_fyros_27	焚木魔法图腾					
_835F899D85C934E4	place_outpost_fyros_28	焚木要塞					
_C486726F2689400C	place_outpost_tryker_02	暗沼边境哨站					
_42511692C2BA0320	place_outpost_tryker_03	精巧岛工坊					
_892EA529697617C8	place_outpost_tryker_04	沙地工坊					
_6BB89D30E2F43AB1	place_outpost_tryker_05	Farely 农场					
_4326D25E3768D412	place_outpost_tryker_06	翠谷商栈					
_010C58382706241C	place_outpost_tryker_07	Windermeer 农场					
_6125AE3C6DDEDC03	place_outpost_tryker_23	Loria 关边境哨站					
_88CF951DF20DE822	place_outpost_tryker_24	狂风之路工坊					
_0B54F17D2E2CD4F8	place_outpost_tryker_25	Muse 守望湖农场					
_B1EFB126848DECEE	place_outpost_tryker_26	三柱农场					
_85DFA92970FC2C10	place_outpost_tryker_27	Muse 湖工坊					
_48BD35A07E0D98CA	place_outpost_tryker_08	泉源之湖工坊					
_2462B551423CE897	place_outpost_tryker_09	丰饶关边境哨站					
_5E40D64F7F7C843E	place_outpost_tryker_10	泉源厅商栈					
_08DF99A7BFCA57BD	place_outpost_tryker_11	Corrie Finley 农场					
_7EB126A23A185419	place_outpost_tryker_12	凝思尽头工坊					
_7A4CEB15177421FD	place_outpost_tryker_18	Cute 之泉研究中心					
_2254130948D9087F	place_outpost_tryker_19	自由之门边境哨站					
_43EBE3179924C29E	place_outpost_tryker_20	Cute 之泉回环要塞					
_734E7133C7CCFFED	place_outpost_tryker_21	Tupile 商栈					
_476F812B328D241A	place_outpost_tryker_22	双峰工坊					
_F5A8F3129E804098	place_outpost_tryker_13	尖峰外交前哨站					
_61E45E923D78B836	place_outpost_tryker_14	沉沙工坊					
_0515D24DB7B90809	place_outpost_tryker_15	东岸魔法图腾					
_BB3C0FC70CEE64EB	place_outpost_tryker_16	墓园门研究中心					
_44E1DFED4C8EBD7E	place_outpost_tryker_17	绝境泥沼要塞					
_A5E5B62E2F2EDC03	place_outpost_tryker_28	水门边境哨站					
_C26EA13BA85DC0C7	place_outpost_tryker_29	Loria 要塞					
_44800B071C726900	place_outpost_tryker_30	Loria 池塘研究中心					
_46B02684B14C1C0F	place_outpost_tryker_31	旋风要塞					
_83B23EA1420CACC7	place_outpost_tryker_32	疾风峡谷工坊					
_2B2A3040CA41E10C	place_outpost_pr_04	Leron 废墟工坊					
_1B28EAA8E474F906	place_outpost_pr_05	Darkring 大厅研究中心					
_F73E357102FAD81E	place_outpost_pr_06	倒伏之树工坊					
_CF9EF5874F0F7D3D	place_outpost_pr_10	街巷崖要塞					
_946219632AAAB87C	place_outpost_pr_11	高环石阵研究中心					
_AAEC841D2EAA3907	place_outpost_pr_12	低丘要塞					
_E9D34584471079BA	place_outpost_pr_13	低丘研究中心					
_6EBC62447B326E70	place_outpost_nexus_01	北部 Nexus 前哨站 ((实验且不稳定))					
_D805E1AF811AD445	place_outpost_nexus_02	Karavan 观察营					
_F3AA551DFF27BF1A	place_outpost_nexus_03	西部 Nexus 前哨站 ((实验且不稳定))					
_F3AA551DFFE77B1A	place_outpost_nexus_04	东部 Nexus 前哨站 ((实验且不稳定))					
_5BF7C24E85ACB00D	place_outpost_nexus_05	Kami 观察营					
_10F2529F3B00D545	place_outpost_nexus_06	劫掠者观察营					
_6EBC624444329A70	place_outpost_nexus_07	南部 Nexus 前哨站 ((实验且不稳定))					
_9A62193E9DCCD68A	place_outpost_pr_01	西 Saprun 研究中心					
_7DEC8005D64D3D17	place_outpost_pr_02	东 Saprun 工坊					
_BAFC701971E1D9CD	place_outpost_pr_03	Nexus 门要塞					
_7ADBA91C352FD80D	place_outpost_pr_14	诡异之谷魔法图腾					
_382C88153049E8CE	place_outpost_pr_15	Aeden 门工坊					
_6BFD88198BE071AE	place_outpost_pr_16	Yelkgrove 边境哨站					
_04A8EC001386967E	place_outpost_pr_07	丰饶之地研究中心					
_BE12ED4908BFA1D6	place_outpost_pr_08	幽林之祸要塞					
_9D52D51EF680D536	place_outpost_pr_09	三图腾隘口工坊					
_A85B6823F16AE1FD	place_outpost_pr_17	枯树要塞					
_B6C89408A46DD9C9	place_outpost_pr_18	树液沼泽商栈					
_FB1C4C8D884FE670	place_outpost_pr_19	飞矢草甸边境哨站					
_52C01C5AB2CCBA8E	place_outpost_pr_20	岩洞步道研究中心					
_78E0B83607D11133	place_outpost_pr_21	诅咒洞窟要塞					
_18B1B83FC612A68A	place_outpost_pr_22	巨菇林工坊					
_E90977C8F2092907	place_outpost_pr_23	怨毒之翼农场					
